Iteration,Cost,Temperature,Sequence
0,62,10,5 2 6 4 3 1
1,40,10,5 3 6 4 2 1
2,52,10,5 4 6 3 2 1
3,54,10,5 4 6 1 2 3
4,48,10,5 6 4 1 2 3
5,55,10,5 6 4 1 3 2
6,47,10,1 6 4 5 3 2
7,49,10,6 1 4 5 3 2
8,53,10,6 4 1 5 3 2
9,47,10,6 4 1 2 3 5
10,63,10,6 4 1 3 2 5
11,57,10,6 4 2 3 1 5
12,43,10,6 4 2 1 3 5
13,43,10,6 5 2 1 3 4
14,41,10,6 5 1 2 3 4
15,55,10,6 1 5 2 3 4
16,59,10,4 1 5 2 3 6
17,55,10,6 1 5 2 3 4
18,59,10,6 1 3 2 5 4
19,47,10,6 1 3 5 2 4
20,47,10,6 1 3 5 2 4
21,49,10,3 1 6 5 2 4
22,49,10,3 1 6 5 2 4
23,39,10,1 3 6 5 2 4
24,35,10,1 3 5 6 2 4
25,35,10,1 3 5 6 2 4
26,33,10,1 2 5 6 3 4
27,33,10,2 1 5 6 3 4
28,33,10,2 1 5 6 3 4
29,39,10,2 1 4 6 3 5
30,33,10,2 1 4 3 6 5
31,43,10,4 1 2 3 6 5
32,43,10,4 1 2 3 6 5
33,47,10,6 1 2 3 4 5
34,47,10,6 1 2 3 4 5
35,57,10,6 4 2 3 1 5
36,43,10,6 4 2 1 3 5
37,35,10,6 1 2 4 3 5
38,45,10,6 1 4 2 3 5
39,46,10,6 1 4 2 5 3
40,38,10,6 1 2 4 5 3
41,40,10,4 1 2 6 5 3
42,51,10,4 1 3 6 5 2
43,46,10,4 2 3 6 5 1
44,42,10,4 2 3 5 6 1
45,32,10,2 4 3 5 6 1
46,32,10,2 4 3 5 6 1
47,38,10,2 4 5 3 6 1
48,41,10,1 4 5 3 6 2
49,35,10,1 4 3 5 6 2
50,35,10,1 4 3 5 6 2
51,35,10,1 2 3 5 6 4
52,29,10,1 2 6 5 3 4
53,29,10,1 2 6 5 3 4
54,35,10,1 2 3 5 6 4
55,37,10,1 6 3 5 2 4
56,35,10,1 6 3 5 4 2
57,37,10,1 3 6 5 4 2
58,39,10,4 3 6 5 1 2
59,39,10,4 3 6 5 1 2
60,39,10,4 3 6 5 1 2
61,39,10,4 3 6 5 1 2
62,43,10,6 3 4 5 1 2
63,43,10,6 3 4 5 1 2
64,39,10,4 3 6 5 1 2
65,35,10,4 3 5 6 1 2
66,35,10,4 3 5 6 1 2
67,35,10,4 3 5 6 1 2
68,35,10,4 3 5 6 1 2
69,35,10,4 3 5 6 1 2
70,35,10,4 3 5 6 1 2
71,35,10,4 3 5 6 1 2
72,35,10,4 3 5 6 1 2
73,35,10,4 3 5 6 1 2
74,39,10,4 3 6 5 1 2
75,39,10,4 3 6 5 1 2
76,35,10,4 3 5 6 1 2
77,35,10,4 3 5 6 1 2
78,35,10,4 3 5 6 1 2
79,35,10,4 3 5 6 1 2
80,39,10,4 3 6 5 1 2
81,43,10,5 3 6 4 1 2
82,40,10,5 3 6 4 2 1
83,46,10,5 3 4 6 2 1
84,46,10,5 4 3 6 2 1
85,52,10,5 4 2 6 3 1
86,37,10,1 4 2 6 3 5
87,49,10,1 4 6 2 3 5
88,41,10,1 4 6 5 3 2
89,45,10,1 5 6 4 3 2
90,47,10,6 5 1 4 3 2
91,47,10,6 5 1 4 3 2
92,43,10,6 5 1 3 4 2
93,43,10,6 5 1 3 4 2
94,43,10,6 5 1 3 4 2
95,36,10,6 5 1 2 4 3
96,48,10,6 2 1 5 4 3
97,41,10,6 2 1 5 3 4
98,41,10,6 2 1 5 3 4
99,41,10,6 5 1 2 3 4
