Iteration,Cost,Temperature,Sequence
0,201,100,15 7 5 14 2 17 6 4 3 16 18 13 11 12 20 8 1 19 9 10
1,193,99,22324,15 7 5 14 2 10 6 4 3 16 18 13 11 12 20 8 1 19 9 17
2,187,99,1281,15 7 14 5 2 10 6 4 3 16 18 13 11 12 20 8 1 19 9 17
3,187,99,11567,15 7 14 5 2 10 6 4 3 16 18 13 11 12 19 8 1 20 9 17
4,193,99,11404,8 7 14 5 2 10 6 4 3 16 18 13 11 12 19 15 1 20 9 17
5,207,99,11382,8 7 14 18 2 10 6 4 3 16 5 13 11 12 19 15 1 20 9 17
6,205,99,11379,8 7 14 18 2 10 6 4 3 16 1 13 11 12 19 15 5 20 9 17
7,209,99,11379,8 7 14 18 2 10 6 4 3 16 1 13 11 12 15 19 5 20 9 17
8,215,99,11379,8 19 14 18 2 10 6 4 3 16 1 13 11 12 15 7 5 20 9 17
9,205,99,11379,8 19 14 17 2 10 6 4 3 16 1 13 11 12 15 7 5 20 9 18
10,209,99,11379,8 19 14 17 2 10 6 4 3 16 1 11 13 12 15 7 5 20 9 18
11,211,99,11379,8 19 14 17 2 10 6 4 3 16 1 11 13 12 15 9 5 20 7 18
12,209,99,11379,8 19 14 17 2 10 6 4 3 16 1 11 5 12 15 9 13 20 7 18
13,197,99,11379,8 19 14 17 2 10 6 4 1 16 3 11 5 12 15 9 13 20 7 18
14,193,99,11379,8 19 14 17 2 10 6 4 1 16 3 11 5 12 15 9 18 20 7 13
15,203,99,11379,8 19 14 17 2 10 6 4 1 16 3 11 7 12 15 9 18 20 5 13
16,209,99,11379,8 19 14 17 2 10 6 4 1 16 3 11 20 12 15 9 18 7 5 13
17,201,99,11379,8 19 14 17 2 10 6 4 1 16 3 11 20 12 7 9 18 15 5 13
18,191,99,11379,8 19 14 17 2 10 6 4 1 16 3 11 20 13 7 9 18 15 5 12
19,187,99,11379,8 19 14 17 2 10 6 4 1 16 3 7 20 13 11 9 18 15 5 12
20,179,99,11379,8 19 14 17 2 1 6 4 10 16 3 7 20 13 11 9 18 15 5 12
21,179,99,11379,8 19 14 17 2 1 6 4 10 16 9 7 20 13 11 3 18 15 5 12
22,203,99,11379,8 19 14 17 2 1 6 4 11 16 9 7 20 13 10 3 18 15 5 12
23,195,99,11379,8 19 14 17 2 1 6 4 11 16 7 9 20 13 10 3 18 15 5 12
24,183,99,11379,8 19 14 17 2 1 6 4 7 16 11 9 20 13 10 3 18 15 5 12
25,207,99,11379,8 19 14 17 2 18 6 4 7 16 11 9 20 13 10 3 1 15 5 12
26,191,99,11379,8 19 14 17 2 18 3 4 7 16 11 9 20 13 10 6 1 15 5 12
27,171,99,11379,8 19 14 17 20 18 3 4 7 16 11 9 2 13 10 6 1 15 5 12
28,171,99,11379,5 19 14 17 20 18 3 4 7 16 11 9 2 13 10 6 1 15 8 12
29,171,99,11379,10 19 14 17 20 18 3 4 7 16 11 9 2 13 5 6 1 15 8 12
