Iteration,Cost,Temperature,Sequence
0,64,300,1 9 7 4 2 6 10 5 11 3 12 8
1,74,299,1 9 7 4 2 10 6 5 11 3 12 8
2,70,298,1 9 7 4 2 10 6 5 11 8 12 3
3,80,297,1 9 8 4 2 10 6 5 11 7 12 3
4,86,296,7 9 8 4 2 10 6 5 11 1 12 3
5,86,295,7 9 8 4 2 10 6 5 11 1 12 3
6,74,294,7 9 8 4 2 10 6 1 11 5 12 3
7,83,293,7 9 8 4 2 3 6 1 11 5 12 10
8,87,292,7 9 8 4 2 3 6 1 5 11 12 10
9,89,291,7 9 8 4 2 6 3 1 5 11 12 10
10,81,290,7 9 8 4 5 6 3 1 2 11 12 10
11,88,289,7 9 8 4 5 6 3 1 2 10 12 11
12,86,288,7 9 8 4 12 6 3 1 2 10 5 11
13,90,287,7 9 2 4 12 6 3 1 8 10 5 11
14,88,286,7 9 12 4 2 6 3 1 8 10 5 11
15,94,285,7 9 12 4 5 6 3 1 8 10 2 11
16,78,284,7 9 12 10 5 6 3 1 8 4 2 11
17,92,283,2 9 12 10 5 6 3 1 8 4 7 11
18,90,282,2 9 12 10 6 5 3 1 8 4 7 11
19,92,281,2 9 12 10 8 5 3 1 6 4 7 11
20,87,280,2 9 12 10 8 11 3 1 6 4 7 5
21,97,279,5 9 12 10 8 11 3 1 6 4 7 2
22,94,278,5 9 2 10 8 11 3 1 6 4 7 12
23,92,277,11 9 2 10 8 5 3 1 6 4 7 12
24,90,276,11 9 2 10 6 5 3 1 8 4 7 12
25,86,275,11 6 2 10 9 5 3 1 8 4 7 12
26,85,274,11 6 2 10 9 12 3 1 8 4 7 5
27,93,273,11 3 2 10 9 12 6 1 8 4 7 5
28,93,272,11 3 4 10 9 12 6 1 8 2 7 5
29,79,271,11 2 4 10 9 12 6 1 8 3 7 5
30,91,270,11 2 4 10 9 12 6 7 8 3 1 5
31,105,269,8 2 4 10 9 12 6 7 11 3 1 5
32,101,268,4 2 8 10 9 12 6 7 11 3 1 5
33,99,267,3 2 8 10 9 12 6 7 11 4 1 5
34,87,266,3 2 8 10 7 12 6 9 11 4 1 5
35,95,265,3 2 8 10 1 12 6 9 11 4 7 5
36,92,264,3 2 8 10 1 5 6 9 11 4 7 12
37,84,263,3 2 8 10 1 7 6 9 11 4 5 12
38,98,262,3 2 8 10 1 7 6 5 11 4 9 12
39,94,261,3 2 8 10 9 7 6 5 11 4 1 12
40,90,260,3 2 8 10 9 7 6 5 11 4 12 1
41,86,259,3 4 8 10 9 7 6 5 11 2 12 1
42,82,258,3 4 5 10 9 7 6 8 11 2 12 1
43,82,257,3 4 5 10 9 7 6 11 8 2 12 1
44,86,256,3 10 5 4 9 7 6 11 8 2 12 1
45,71,255,3 10 5 1 9 7 6 11 8 2 12 4
46,89,254,3 10 5 1 9 12 6 11 8 2 7 4
47,73,253,3 10 5 1 9 2 6 11 8 12 7 4
48,65,252,3 10 5 1 9 6 2 11 8 12 7 4
49,49,251,7 10 5 1 9 6 2 11 8 12 3 4
50,61,250,7 10 5 11 9 6 2 1 8 12 3 4
51,81,249,12 10 5 11 9 6 2 1 8 7 3 4
52,69,248,12 10 5 7 9 6 2 1 8 11 3 4
53,85,247,12 10 6 7 9 5 2 1 8 11 3 4
54,87,246,12 10 6 7 9 5 2 11 8 1 3 4
55,81,245,12 10 7 6 9 5 2 11 8 1 3 4
56,103,244,12 10 11 6 9 5 2 7 8 1 3 4
57,97,243,12 10 11 6 9 5 2 8 7 1 3 4
58,91,242,12 3 11 6 9 5 2 8 7 1 10 4
59,85,241,12 3 11 6 10 5 2 8 7 1 9 4
60,89,240,12 3 11 6 10 5 2 1 7 8 9 4
61,69,239,12 3 9 6 10 5 2 1 7 8 11 4
62,71,238,12 3 9 6 10 5 2 1 7 11 8 4
63,77,237,12 3 11 6 10 5 2 1 7 9 8 4
64,77,236,6 3 11 12 10 5 2 1 7 9 8 4
65,85,235,11 3 6 12 10 5 2 1 7 9 8 4
66,81,234,11 3 2 12 10 5 6 1 7 9 8 4
67,83,233,11 3 2 12 10 1 6 5 7 9 8 4
68,87,232,11 3 2 5 10 1 6 12 7 9 8 4
69,79,231,11 3 9 5 10 1 6 12 7 2 8 4
70,79,230,11 3 9 10 5 1 6 12 7 2 8 4
71,81,229,3 11 9 10 5 1 6 12 7 2 8 4
72,81,228,3 11 9 10 5 6 1 12 7 2 8 4
73,87,227,3 10 9 11 5 6 1 12 7 2 8 4
74,77,226,3 10 12 11 5 6 1 9 7 2 8 4
75,86,225,4 10 12 11 5 6 1 9 7 2 8 3
76,90,224,4 10 12 11 5 6 1 9 2 7 8 3
77,90,223,4 10 2 11 5 6 1 9 12 7 8 3
78,90,222,4 10 2 3 5 6 1 9 12 7 8 11
79,90,221,4 10 2 8 5 6 1 9 12 7 3 11
80,98,220,4 10 2 8 5 11 1 9 12 7 3 6
81,100,219,12 10 2 8 5 11 1 9 4 7 3 6
82,83,218,12 10 2 8 5 11 1 9 6 7 3 4
83,87,217,12 1 2 8 5 11 10 9 6 7 3 4
84,87,216,12 1 10 8 5 11 2 9 6 7 3 4
85,83,215,12 1 6 8 5 11 2 9 10 7 3 4
86,81,214,1 12 6 8 5 11 2 9 10 7 3 4
87,89,213,1 12 6 8 5 11 2 9 10 3 7 4
88,85,212,1 12 10 8 5 11 2 9 6 3 7 4
89,83,211,1 12 10 8 5 11 2 6 9 3 7 4
90,89,210,10 12 1 8 5 11 2 6 9 3 7 4
91,97,209,10 12 1 8 5 11 7 6 9 3 2 4
92,94,208,10 12 1 8 5 4 7 6 9 3 2 11
93,90,207,10 12 2 8 5 4 7 6 9 3 1 11
94,90,206,1 12 2 8 5 4 7 6 9 3 10 11
95,96,205,1 12 2 8 9 4 7 6 5 3 10 11
96,92,204,1 12 9 8 2 4 7 6 5 3 10 11
97,94,203,1 12 9 8 2 6 7 4 5 3 10 11
98,100,202,1 12 9 8 5 6 7 4 2 3 10 11
99,90,201,1 12 5 8 9 6 7 4 2 3 10 11
100,86,200,1 8 5 12 9 6 7 4 2 3 10 11
101,92,199,6 8 5 12 9 1 7 4 2 3 10 11
102,74,198,6 10 5 12 9 1 7 4 2 3 8 11
103,64,197,6 10 5 12 9 1 2 4 7 3 8 11
104,70,196,6 10 5 12 1 9 2 4 7 3 8 11
105,88,195,6 10 5 12 1 3 2 4 7 9 8 11
106,90,194,6 10 7 12 1 3 2 4 5 9 8 11
107,82,193,6 10 7 12 1 4 2 3 5 9 8 11
108,60,192,6 10 7 9 1 4 2 3 5 12 8 11
109,78,191,6 10 4 9 1 7 2 3 5 12 8 11
110,90,190,6 10 4 9 1 8 2 3 5 12 7 11
111,76,189,6 10 2 9 1 8 4 3 5 12 7 11
112,74,188,1 10 2 9 6 8 4 3 5 12 7 11
113,90,187,5 10 2 9 6 8 4 3 1 12 7 11
114,84,186,5 10 2 11 6 8 4 3 1 12 7 9
115,88,185,5 10 2 11 9 8 4 3 1 12 7 6
116,90,184,12 10 2 11 9 8 4 3 1 5 7 6
117,86,183,12 10 2 11 4 8 9 3 1 5 7 6
118,72,182,12 10 2 11 4 8 9 6 1 5 7 3
119,84,181,12 10 2 1 4 8 9 6 11 5 7 3
120,96,180,12 10 2 1 7 8 9 6 11 5 4 3
121,89,179,12 10 2 1 7 8 9 6 11 5 3 4
122,85,178,3 10 2 1 7 8 9 6 11 5 12 4
123,91,177,3 6 2 1 7 8 9 10 11 5 12 4
124,89,176,3 6 2 11 7 8 9 10 1 5 12 4
125,78,175,3 6 2 11 4 8 9 10 1 5 12 7
126,88,174,3 6 2 9 4 8 11 10 1 5 12 7
127,94,173,3 8 2 9 4 6 11 10 1 5 12 7
128,100,172,3 8 1 9 4 6 11 10 2 5 12 7
129,100,171,3 8 1 9 4 6 11 10 2 5 12 7
130,100,170,6 8 1 9 4 3 11 10 2 5 12 7
131,102,169,6 8 1 9 4 3 11 5 2 10 12 7
132,88,168,6 7 1 9 4 3 11 5 2 10 12 8
133,94,167,3 7 1 9 4 6 11 5 2 10 12 8
134,86,166,3 7 1 9 2 6 11 5 4 10 12 8
135,76,165,3 7 1 9 2 6 11 12 4 10 5 8
136,72,164,1 7 3 9 2 6 11 12 4 10 5 8
137,76,163,1 7 3 10 2 6 11 12 4 9 5 8
138,84,162,1 7 4 10 2 6 11 12 3 9 5 8
139,76,161,1 7 3 10 2 6 11 12 4 9 5 8
140,70,160,1 7 3 4 2 6 11 12 10 9 5 8
141,84,159,4 7 3 1 2 6 11 12 10 9 5 8
142,92,158,4 7 3 1 5 6 11 12 10 9 2 8
143,94,157,4 7 3 1 5 6 11 8 10 9 2 12
144,88,156,4 7 3 9 5 6 11 8 10 1 2 12
145,94,155,4 7 3 9 5 6 11 1 10 8 2 12
146,80,154,6 7 3 9 5 4 11 1 10 8 2 12
147,79,153,6 7 3 9 5 4 11 1 12 8 2 10
148,79,152,6 3 7 9 5 4 11 1 12 8 2 10
149,74,151,10 3 7 9 5 4 11 1 12 8 2 6
150,76,150,10 3 7 6 5 4 11 1 12 8 2 9
151,72,149,10 6 7 3 5 4 11 1 12 8 2 9
152,80,148,10 6 7 3 5 4 11 12 1 8 2 9
153,76,147,10 6 7 3 5 8 11 12 1 4 2 9
154,64,146,10 6 7 3 5 1 11 12 8 4 2 9
155,64,145,10 6 7 3 5 1 4 12 8 11 2 9
156,68,144,2 6 7 3 5 1 4 12 8 11 10 9
157,76,143,2 6 7 12 5 1 4 3 8 11 10 9
158,76,142,2 6 7 12 5 1 8 3 4 11 10 9
159,80,141,2 6 7 8 5 1 12 3 4 11 10 9
160,84,140,2 6 7 4 5 1 12 3 8 11 10 9
161,80,139,5 6 7 4 2 1 12 3 8 11 10 9
162,74,138,5 6 7 4 2 1 11 3 8 12 10 9
163,80,137,5 6 7 4 2 1 11 10 8 12 3 9
164,84,136,5 6 2 4 7 1 11 10 8 12 3 9
165,80,135,7 6 2 4 5 1 11 10 8 12 3 9
166,80,134,7 6 2 4 3 1 11 10 8 12 5 9
167,70,133,7 6 2 4 11 1 3 10 8 12 5 9
168,60,132,7 6 2 4 11 1 9 10 8 12 5 3
169,58,131,7 1 2 4 11 6 9 10 8 12 5 3
170,70,130,7 1 8 4 11 6 9 10 2 12 5 3
171,78,129,7 1 8 4 11 6 9 5 2 12 10 3
172,86,128,11 1 8 4 7 6 9 5 2 12 10 3
173,90,127,11 1 12 4 7 6 9 5 2 8 10 3
