Iteration,Cost,Sequence
0,21,2 3 1
1,21,3 2 1
2,21,3 1 2
3,21,3 1 2
4,21,3 2 1
5,21,2 3 1
6,21,3 2 1
7,21,3 1 2
8,21,3 1 2
9,21,3 2 1
10,20,1 2 3
11,15,1 3 2
12,15,1 3 2
13,15,1 3 2
14,15,1 3 2
15,15,1 3 2
16,15,1 3 2
17,15,1 3 2
18,15,1 3 2
19,15,1 3 2
20,15,1 3 2
21,15,1 3 2
22,15,1 3 2
23,15,1 3 2
24,15,1 3 2
25,15,1 3 2
26,15,1 3 2
27,15,1 3 2
28,15,1 3 2
29,15,1 3 2
30,15,1 3 2
31,15,1 3 2
32,15,1 3 2
33,15,1 3 2
34,15,1 3 2
35,15,1 3 2
36,15,1 3 2
37,15,1 3 2
38,15,1 3 2
39,15,1 3 2
40,15,1 3 2
41,15,1 3 2
42,15,1 3 2
43,15,1 3 2
44,15,1 3 2
45,15,1 3 2
46,15,1 3 2
47,15,1 3 2
48,15,1 3 2
49,15,1 3 2
50,15,1 3 2
51,15,1 3 2
52,15,1 3 2
53,15,1 3 2
54,15,1 3 2
55,15,1 3 2
56,15,1 3 2
57,15,1 3 2
58,15,1 3 2
59,15,1 3 2
60,15,1 3 2
61,15,1 3 2
62,15,1 3 2
63,15,1 3 2
64,15,1 3 2
65,15,1 3 2
66,15,1 3 2
67,15,1 3 2
68,15,1 3 2
69,15,1 3 2
70,15,1 3 2
71,15,1 3 2
72,15,1 3 2
73,15,1 3 2
74,15,1 3 2
75,15,1 3 2
76,15,1 3 2
77,15,1 3 2
78,15,1 3 2
79,15,1 3 2
80,15,1 3 2
81,15,1 3 2
82,15,1 3 2
83,15,1 3 2
84,15,1 3 2
85,15,1 3 2
86,15,1 3 2
87,15,1 3 2
88,15,1 3 2
89,15,1 3 2
90,15,1 3 2
91,15,1 3 2
92,15,1 3 2
93,15,1 3 2
94,15,1 3 2
95,15,1 3 2
96,15,1 3 2
97,15,1 3 2
98,15,1 3 2
99,15,1 3 2
