Iteration,Cost,Sequence
0,62,5 2 6 4 3 1
1,64,5 4 6 2 3 1
2,64,5 4 6 2 3 1
3,64,5 4 6 2 3 1
4,64,5 4 6 2 3 1
5,64,5 4 6 2 3 1
6,64,5 4 6 2 3 1
7,64,5 4 6 2 3 1
8,64,5 4 6 2 3 1
9,64,5 4 6 2 3 1
10,64,5 4 6 2 3 1
11,64,5 4 6 2 3 1
12,64,5 4 6 2 3 1
13,64,5 4 6 2 3 1
14,64,5 4 6 2 3 1
15,64,5 4 6 2 3 1
16,64,5 4 6 2 3 1
17,64,5 4 6 2 3 1
18,64,5 4 6 2 3 1
19,64,5 4 6 2 3 1
20,64,5 4 6 2 3 1
21,64,5 4 6 2 3 1
22,64,5 4 6 2 3 1
23,64,5 4 6 2 3 1
24,64,5 4 6 2 3 1
25,64,5 4 6 2 3 1
26,64,5 4 6 2 3 1
27,64,5 4 6 2 3 1
28,64,5 4 6 2 3 1
29,64,5 4 6 2 3 1
30,64,5 4 6 2 3 1
31,64,5 4 6 2 3 1
32,64,5 4 6 2 3 1
33,64,5 4 6 2 3 1
34,64,6 4 5 2 3 1
35,64,6 4 5 2 3 1
36,64,5 4 6 2 3 1
37,64,5 4 6 2 3 1
38,64,5 4 6 2 3 1
39,64,5 4 6 2 3 1
40,64,5 4 6 2 3 1
41,64,5 4 6 2 3 1
42,64,5 4 6 2 3 1
43,64,5 4 6 2 3 1
44,64,5 4 6 2 3 1
45,64,5 4 6 2 3 1
46,64,5 4 6 2 3 1
47,64,5 4 6 2 3 1
48,64,5 4 6 2 3 1
49,64,5 4 6 2 3 1
50,64,5 4 6 2 3 1
51,64,5 4 6 2 3 1
52,64,5 4 6 2 3 1
53,64,5 4 6 2 3 1
54,64,5 4 6 2 3 1
55,64,5 4 6 2 3 1
56,64,5 4 6 2 3 1
57,64,5 4 6 2 3 1
58,64,5 4 6 2 3 1
59,64,6 4 5 2 3 1
60,64,6 4 5 2 3 1
61,64,6 4 5 2 3 1
62,64,6 4 5 2 3 1
63,64,6 4 5 2 3 1
64,64,6 4 5 2 3 1
65,64,6 4 5 2 3 1
66,64,6 4 5 2 3 1
67,64,6 4 5 2 3 1
68,64,6 4 5 2 3 1
69,64,6 4 5 2 3 1
70,64,6 4 5 2 3 1
71,64,6 4 5 2 3 1
72,64,6 4 5 2 3 1
73,64,6 4 5 2 3 1
74,64,6 4 5 2 3 1
75,64,6 4 5 2 3 1
76,64,6 4 5 2 3 1
77,64,5 4 6 2 3 1
78,64,5 4 6 2 3 1
79,64,5 4 6 2 3 1
80,64,6 4 5 2 3 1
81,64,6 4 5 2 3 1
82,64,6 4 5 2 3 1
83,64,6 4 5 2 3 1
84,64,6 4 5 2 3 1
85,64,6 4 5 2 3 1
86,64,6 4 5 2 3 1
87,64,6 4 5 2 3 1
88,64,6 4 5 2 3 1
89,64,6 4 5 2 3 1
90,64,6 4 5 2 3 1
91,64,5 4 6 2 3 1
92,64,5 4 6 2 3 1
93,64,6 4 5 2 3 1
94,64,6 4 5 2 3 1
95,64,6 4 5 2 3 1
96,64,6 4 5 2 3 1
97,64,6 4 5 2 3 1
98,64,6 4 5 2 3 1
99,64,6 4 5 2 3 1
