Iteration;Cost;Temperature;Sequence
0;68;100;10 3 5 2 7 12 8 11 4 6 1 9
1;74;99;10 3 1 2 7 12 8 11 4 6 5 9
2;74;98,01;10 3 1 2 7 12 8 11 4 6 5 9
3;78;97,0299;10 3 1 4 7 12 8 11 2 6 5 9
4;76;96,0596;1 3 10 4 7 12 8 11 2 6 5 9
5;86;95,09901;11 3 10 4 7 12 8 1 2 6 5 9
6;86;94,14802;11 6 10 4 7 12 8 1 2 3 5 9
7;90;93,20654;11 6 10 4 7 8 12 1 2 3 5 9
8;86;92,27447;11 6 10 4 7 12 8 1 2 3 5 9
9;86;91,35172;11 6 10 4 12 7 8 1 2 3 5 9
10;88;90,43821;11 10 6 4 12 7 8 1 2 3 5 9
11;86;89,53383;5 10 6 4 12 7 8 1 2 3 11 9
12;79;88,63849;5 10 6 4 12 7 8 1 9 3 11 2
13;83;87,75211;5 1 6 4 12 7 8 10 9 3 11 2
14;71;86,87459;5 1 6 4 12 8 7 10 9 3 11 2
15;67;86,00584;5 1 6 4 8 12 7 10 9 3 11 2
16;83;85,14579;5 1 6 4 7 12 8 10 9 3 11 2
17;83;84,29433;5 1 6 4 7 8 12 10 9 3 11 2
18;81;83,45139;5 1 6 11 7 8 12 10 9 3 4 2
19;81;82,61688;5 1 6 11 7 8 12 9 10 3 4 2
20;73;81,79072;5 1 6 9 7 8 12 11 10 3 4 2
21;89;80,97281;5 1 4 9 7 8 12 11 10 3 6 2
22;87;80,16308;5 7 4 9 1 8 12 11 10 3 6 2
23;71;79,36145;5 7 6 9 1 8 12 11 10 3 4 2
24;75;78,56783;5 7 6 9 1 8 3 11 10 12 4 2
25;75;77,78216;5 7 6 9 1 8 3 11 2 12 4 10
26;81;77,00433;5 7 6 9 2 8 3 11 1 12 4 10
27;99;76,23429;5 7 6 3 2 8 9 11 1 12 4 10
28;99;75,47195;7 5 6 3 2 8 9 11 1 12 4 10
29;99;74,71723;7 5 6 3 2 8 9 12 1 11 4 10
30;97;73,97006;3 5 6 7 2 8 9 12 1 11 4 10
31;93;73,23036;3 5 6 7 2 8 9 4 1 11 12 10
32;97;72,49806;3 6 5 7 2 8 9 4 1 11 12 10
33;87;71,77308;3 6 5 7 2 8 9 1 4 11 12 10
34;91;71,05535;3 6 5 7 2 8 9 1 10 11 12 4
35;73;70,3448;3 10 5 7 2 8 9 1 6 11 12 4
36;69;69,64135;3 5 10 7 2 8 9 1 6 11 12 4
37;87;68,94494;3 5 6 7 2 8 9 1 10 11 12 4
38;81;68,25549;3 5 6 9 2 8 7 1 10 11 12 4
39;81;67,57294;6 5 3 9 2 8 7 1 10 11 12 4
40;87;66,89721;6 5 3 9 1 8 7 2 10 11 12 4
41;102;66,22824;4 5 3 9 1 8 7 2 10 11 12 6
42;108;65,56596;4 1 3 9 5 8 7 2 10 11 12 6
43;88;64,91029;4 1 3 9 5 8 11 2 10 7 12 6
44;100;64,26119;4 1 3 9 8 5 11 2 10 7 12 6
45;100;63,61858;4 1 3 9 8 7 11 2 10 5 12 6
46;112;62,9824;4 1 3 9 8 7 5 2 10 11 12 6
47;90;62,35257;4 1 3 9 6 7 5 2 10 11 12 8
48;104;61,72905;4 1 3 9 6 8 5 2 10 11 12 7
49;95;61,11176;7 1 3 9 6 8 5 2 10 11 12 4
50;81;60,50064;7 1 11 9 6 8 5 2 10 3 12 4
51;75;59,89563;7 2 11 9 6 8 5 1 10 3 12 4
52;78;59,29668;4 2 11 9 6 8 5 1 10 3 12 7
53;82;58,70371;4 2 11 9 12 8 5 1 10 3 6 7
54;78;58,11667;4 2 11 8 12 9 5 1 10 3 6 7
55;70;57,53551;4 2 11 8 12 9 1 5 10 3 6 7
56;76;56,96015;12 2 11 8 4 9 1 5 10 3 6 7
57;66;56,39055;9 2 11 8 4 12 1 5 10 3 6 7
58;86;55,82665;9 2 11 10 4 12 1 5 8 3 6 7
59;76;55,26838;9 2 11 10 4 6 1 5 8 3 12 7
60;76;54,7157;9 2 11 10 4 6 1 5 8 3 12 7
61;82;54,16854;9 2 11 10 4 8 1 5 6 3 12 7
62;84;53,62686;9 2 11 10 4 8 1 5 6 3 7 12
63;88;53,09059;9 2 11 10 4 8 7 5 6 3 1 12
64;74;52,55968;9 2 11 8 4 10 7 5 6 3 1 12
65;66;52,03409;9 2 11 8 4 6 7 5 10 3 1 12
66;58;51,51375;9 2 11 8 4 6 7 5 10 3 12 1
67;58;50,99861;9 2 11 8 4 1 7 5 10 3 12 6
68;76;50,48862;9 2 7 8 4 1 11 5 10 3 12 6
69;82;49,98374;9 2 7 8 4 1 11 5 3 10 12 6
70;76;49,4839;9 2 7 6 4 1 11 5 3 10 12 8
71;78;48,98906;9 2 7 6 4 8 11 5 3 10 12 1
72;78;48,49917;9 2 7 6 4 8 11 5 3 10 12 1
73;70;48,01418;9 6 7 2 4 8 11 5 3 10 12 1
74;78;47,53404;12 6 7 2 4 8 11 5 3 10 9 1
75;74;47,0587;12 6 7 2 11 8 4 5 3 10 9 1
76;72;46,58811;12 9 7 2 11 8 4 5 3 10 6 1
77;74;46,12223;12 6 7 2 11 8 4 5 3 10 9 1
78;74;45,66101;12 6 7 2 11 8 4 5 3 10 9 1
79;68;45,2044;7 6 12 2 11 8 4 5 3 10 9 1
80;62;44,75235;7 10 12 2 11 8 4 5 3 6 9 1
81;73;44,30483;7 1 12 2 11 8 4 5 3 6 9 10
82;76;43,86179;7 1 12 2 11 8 4 5 3 6 10 9
83;76;43,42317;7 1 12 2 11 8 4 5 3 9 10 6
84;64;42,98894;7 1 6 2 11 8 4 5 3 9 10 12
85;60;42,55905;7 6 1 2 11 8 4 5 3 9 10 12
86;66;42,13346;7 6 1 11 2 8 4 5 3 9 10 12
87;76;41,71212;11 6 1 7 2 8 4 5 3 9 10 12
88;70;41,295;11 6 1 7 2 8 4 5 10 9 3 12
89;70;40,88205;11 6 1 7 2 8 4 5 10 9 3 12
90;82;40,47323;11 6 8 7 2 1 4 5 10 9 3 12
91;82;40,0685;11 6 4 7 2 1 8 5 10 9 3 12
92;78;39,66782;11 6 5 7 2 1 8 4 10 9 3 12
93;88;39,27114;11 6 5 7 2 9 8 4 10 1 3 12
94;86;38,87843;11 1 5 7 2 9 8 4 10 6 3 12
95;94;38,48964;11 1 5 7 2 9 8 4 10 3 6 12
96;90;38,10475;11 1 5 7 2 6 8 4 10 3 9 12
97;90;37,7237;7 1 5 11 2 6 8 4 10 3 9 12
98;78;37,34647;7 1 5 11 2 6 9 4 10 3 8 12
99;91;36,973;7 1 5 11 12 6 9 4 10 3 8 2
100;83;36,60328;7 5 1 11 12 6 9 4 10 3 8 2
101;71;36,23724;7 5 12 11 1 6 9 4 10 3 8 2
102;71;35,87487;7 5 12 11 1 6 9 4 3 10 8 2
103;79;35,51612;7 12 5 11 1 6 9 4 3 10 8 2
104;79;35,16096;7 12 5 11 1 6 9 4 3 10 8 2
105;80;34,80935;7 12 5 11 1 6 9 4 3 10 2 8
106;84;34,46126;8 12 5 11 1 6 9 4 3 10 2 7
107;84;34,11665;8 12 5 11 1 6 9 4 3 10 2 7
108;100;33,77548;8 12 5 11 1 3 9 4 6 10 2 7
109;103;33,43773;8 12 7 11 1 3 9 4 6 10 2 5
110;99;33,10335;8 12 7 2 1 3 9 4 6 10 11 5
111;97;32,77232;8 12 7 1 2 3 9 4 6 10 11 5
112;101;32,44459;4 12 7 1 2 3 9 8 6 10 11 5
113;91;32,12015;4 12 7 1 10 3 9 8 6 2 11 5
114;91;31,79895;4 12 7 1 10 3 2 8 6 9 11 5
115;93;31,48096;4 12 7 1 10 9 2 8 6 3 11 5
116;80;31,16615;4 12 7 1 10 9 2 8 5 3 11 6
117;80;30,85449;4 12 7 1 10 9 2 8 5 3 11 6
118;84;30,54594;4 1 7 12 10 9 2 8 5 3 11 6
119;82;30,24048;4 1 7 12 11 9 2 8 5 3 10 6
120;84;29,93808;4 1 7 12 10 9 2 8 5 3 11 6
121;90;29,6387;4 1 7 11 10 9 2 8 5 3 12 6
122;90;29,34231;4 1 7 11 10 9 2 8 3 5 12 6
123;87;29,04889;4 1 7 11 10 9 6 8 3 5 12 2
124;81;28,7584;4 1 7 11 6 9 10 8 3 5 12 2
125;89;28,47081;4 1 7 11 6 9 10 8 3 2 12 5
126;89;28,18611;4 6 7 11 1 9 10 8 3 2 12 5
127;87;27,90425;4 8 7 11 1 9 10 6 3 2 12 5
128;97;27,6252;4 8 7 11 1 12 10 6 3 2 9 5
129;95;27,34895;4 8 7 11 9 12 10 6 3 2 1 5
130;99;27,07546;4 8 7 11 9 12 10 6 2 3 1 5
131;95;26,80471;4 3 7 11 9 12 10 6 2 8 1 5
132;97;26,53666;12 3 7 11 9 4 10 6 2 8 1 5
133;101;26,2713;12 11 7 3 9 4 10 6 2 8 1 5
134;101;26,00858;12 11 6 3 9 4 10 7 2 8 1 5
135;99;25,7485;10 11 6 3 9 4 12 7 2 8 1 5
136;93;25,49101;10 6 11 3 9 4 12 7 2 8 1 5
137;93;25,2361;10 6 11 3 9 4 12 7 1 8 2 5
138;97;24,98374;10 6 11 3 4 9 12 7 1 8 2 5
139;111;24,73391;3 6 11 10 4 9 12 7 1 8 2 5
140;111;24,48657;3 6 11 10 12 9 4 7 1 8 2 5
141;101;24,2417;3 6 1 10 12 9 4 7 11 8 2 5
142;93;23,99928;3 6 1 10 9 12 4 7 11 8 2 5
143;93;23,75929;3 6 1 10 9 12 4 7 11 8 2 5
144;83;23,5217;3 6 1 10 9 11 4 7 12 8 2 5
145;95;23,28648;3 6 1 12 9 11 4 7 10 8 2 5
146;105;23,05362;3 6 1 12 9 11 4 7 8 10 2 5
147;101;22,82308;3 8 1 12 9 11 4 7 6 10 2 5
148;105;22,59485;3 8 1 12 11 9 4 7 6 10 2 5
149;89;22,3689;3 8 1 12 11 9 10 7 6 4 2 5
150;70;22,14522;3 8 5 12 11 9 10 7 6 4 2 1
151;70;21,92376;3 8 5 12 11 9 7 10 6 4 2 1
152;68;21,70452;8 3 5 12 11 9 7 10 6 4 2 1
153;78;21,48748;7 3 5 12 11 9 8 10 6 4 2 1
154;81;21,27261;7 3 5 12 11 9 8 10 6 4 1 2
155;79;21,05988;7 3 5 12 8 9 11 10 6 4 1 2
156;81;20,84928;7 3 5 12 8 9 11 1 6 4 10 2
157;77;20,64079;7 3 8 12 5 9 11 1 6 4 10 2
158;79;20,43438;7 3 8 4 5 9 11 1 6 12 10 2
159;87;20,23004;7 3 8 4 5 9 11 1 12 6 10 2
160;87;20,02774;7 5 8 4 3 9 11 1 12 6 10 2
161;81;19,82746;7 5 8 4 3 10 11 1 12 6 9 2
162;81;19,62918;7 5 8 4 3 10 11 1 12 6 9 2
163;71;19,43289;7 5 8 12 3 10 11 1 4 6 9 2
164;73;19,23857;7 5 8 12 3 10 11 6 4 1 9 2
165;62;19,04618;7 5 8 12 3 10 11 2 4 1 9 6
166;63;18,85572;7 5 8 12 3 10 11 2 6 1 9 4
167;70;18,66716;7 5 8 12 3 10 11 2 6 4 9 1
168;70;18,48049;7 5 8 12 3 10 11 2 6 4 9 1
169;70;18,29568;7 5 8 12 3 10 11 2 6 4 9 1
