Iteration;Cost;Temperature;Sequence
0;64;10000;3 11 9 1 2 8 4 12 5 7 10 6
1;70;9900;10 11 9 1 2 8 4 12 5 7 3 6
2;68;9801;7 11 9 1 2 8 4 12 5 10 3 6
3;68;9702,99;7 11 2 1 9 8 4 12 5 10 3 6
4;60;9605,96;7 11 2 1 9 6 4 12 5 10 3 8
5;68;9509,9;7 11 2 1 9 8 4 12 5 10 3 6
6;68;9414,802;7 11 2 1 9 8 4 12 5 10 6 3
7;66;9320,654;1 11 2 7 9 8 4 12 5 10 6 3
8;68;9227,448;1 11 2 7 5 8 4 12 9 10 6 3
9;68;9135,174;1 11 2 7 5 8 12 4 9 10 6 3
10;74;9043,822;1 11 12 7 5 8 2 4 9 10 6 3
11;76;8953,384;1 11 12 7 5 3 2 4 9 10 6 8
12;80;8863,85;1 11 5 7 12 3 2 4 9 10 6 8
13;80;8775,211;1 11 5 7 12 4 2 3 9 10 6 8
14;82;8687,459;1 12 5 7 11 4 2 3 9 10 6 8
15;104;8600,585;1 12 5 7 11 10 2 3 9 4 6 8
16;94;8514,579;1 12 5 7 11 10 9 3 2 4 6 8
17;104;8429,434;1 12 5 7 11 10 2 3 9 4 6 8
18;92;8345,14;1 12 5 4 11 10 2 3 9 7 6 8
19;92;8261,688;1 12 5 6 11 10 2 3 9 7 4 8
20;102;8179,072;1 12 6 5 11 10 2 3 9 7 4 8
21;110;8097,281;1 12 6 5 11 10 2 3 8 7 4 9
22;94;8016,309;1 12 6 5 11 10 2 4 8 7 3 9
23;88;7936,146;1 12 6 7 11 10 2 4 8 5 3 9
24;86;7856,784;1 12 6 7 11 2 10 4 8 5 3 9
25;91;7778,216;1 12 6 7 11 2 10 4 8 9 3 5
26;89;7700,434;1 12 6 7 11 8 10 4 2 9 3 5
27;91;7623,43;1 12 6 7 3 8 10 4 2 9 11 5
28;101;7547,195;1 12 6 2 3 8 10 4 7 9 11 5
29;101;7471,724;1 12 10 2 3 8 6 4 7 9 11 5
30;95;7397,006;1 12 10 2 3 7 6 4 8 9 11 5
31;95;7323,036;1 12 7 2 3 10 6 4 8 9 11 5
32;85;7249,806;1 12 7 8 3 10 6 4 2 9 11 5
33;90;7177,308;1 12 7 8 3 10 6 4 2 5 11 9
34;88;7105,535;1 12 7 8 3 5 6 4 2 10 11 9
35;84;7034,479;1 12 5 8 3 7 6 4 2 10 11 9
36;90;6964,135;1 12 5 8 3 4 6 7 2 10 11 9
37;90;6894,494;1 12 5 7 3 4 6 8 2 10 11 9
38;90;6825,549;6 12 5 7 3 4 1 8 2 10 11 9
39;76;6757,293;6 10 5 7 3 4 1 8 2 12 11 9
40;76;6689,721;6 10 5 7 3 4 2 8 1 12 11 9
41;80;6622,824;6 10 5 1 3 4 2 8 7 12 11 9
42;80;6556,596;6 5 10 1 3 4 2 8 7 12 11 9
43;86;6491,03;6 3 10 1 5 4 2 8 7 12 11 9
44;76;6426,12;6 3 10 1 5 7 2 8 4 12 11 9
45;76;6361,858;6 10 3 1 5 7 2 8 4 12 11 9
46;71;6298,24;6 10 3 1 5 7 9 8 4 12 11 2
47;85;6235,257;12 10 3 1 5 7 9 8 4 6 11 2
48;87;6172,905;12 10 3 1 5 7 6 8 4 9 11 2
49;85;6111,176;12 10 3 1 5 7 9 8 4 6 11 2
50;91;6050,064;12 10 4 1 5 7 9 8 3 6 11 2
51;91;5989,563;12 10 4 6 5 7 9 8 3 1 11 2
52;73;5929,668;12 10 1 6 5 7 9 8 3 4 11 2
53;87;5870,372;12 10 11 6 5 7 9 8 3 4 1 2
54;77;5811,668;10 12 11 6 5 7 9 8 3 4 1 2
55;87;5753,551;1 12 11 6 5 7 9 8 3 4 10 2
56;99;5696,016;1 12 11 6 5 3 9 8 7 4 10 2
57;105;5639,056;1 12 3 6 5 11 9 8 7 4 10 2
58;101;5582,665;1 12 3 6 5 11 10 8 7 4 9 2
59;101;5526,838;1 12 5 6 3 11 10 8 7 4 9 2
60;99;5471,57;1 12 5 6 3 8 10 11 7 4 9 2
61;101;5416,854;1 12 5 6 9 8 10 11 7 4 3 2
62;93;5362,686;11 12 5 6 9 8 10 1 7 4 3 2
63;73;5309,059;11 12 5 6 9 7 10 1 8 4 3 2
64;77;5255,968;4 12 5 6 9 7 10 1 8 11 3 2
65;85;5203,409;4 12 5 6 9 7 3 1 8 11 10 2
66;83;5151,375;4 11 5 6 9 7 3 1 8 12 10 2
67;88;5099,861;4 2 5 6 9 7 3 1 8 12 10 11
68;94;5048,862;9 2 5 6 4 7 3 1 8 12 10 11
69;86;4998,374;9 2 5 11 4 7 3 1 8 12 10 6
70;81;4948,39;9 6 5 11 4 7 3 1 8 12 10 2
71;91;4898,906;9 8 5 11 4 7 3 1 6 12 10 2
72;73;4849,917;9 8 12 11 4 7 3 1 6 5 10 2
73;73;4801,418;5 8 12 11 4 7 3 1 6 9 10 2
74;66;4753,404;5 8 12 11 4 2 3 1 6 9 10 7
75;66;4705,87;5 8 12 11 4 2 6 1 3 9 10 7
76;68;4658,811;2 8 12 11 4 5 6 1 3 9 10 7
77;82;4612,223;2 7 12 11 4 5 6 1 3 9 10 8
78;82;4566,101;2 7 12 11 10 5 6 1 3 9 4 8
79;86;4520,44;5 7 12 11 10 2 6 1 3 9 4 8
80;74;4475,235;9 7 12 11 10 2 6 1 3 5 4 8
81;80;4430,483;6 7 12 11 10 2 9 1 3 5 4 8
82;90;4386,178;6 7 9 11 10 2 12 1 3 5 4 8
83;78;4342,316;6 7 9 11 10 12 2 1 3 5 4 8
84;86;4298,893;6 5 9 11 10 12 2 1 3 7 4 8
85;80;4255,904;3 5 9 11 10 12 2 1 6 7 4 8
86;74;4213,345;3 5 9 11 10 7 2 1 6 12 4 8
87;70;4171,212;10 5 9 11 3 7 2 1 6 12 4 8
88;72;4129,5;10 5 9 11 2 7 3 1 6 12 4 8
89;70;4088,205;10 5 9 11 6 7 3 1 2 12 4 8
90;72;4047,323;10 5 9 11 1 7 3 6 2 12 4 8
91;91;4006,85;10 8 9 11 1 7 3 6 2 12 4 5
92;83;3966,781;10 12 9 11 1 7 3 6 2 8 4 5
93;84;3927,114;10 12 9 11 5 7 3 6 2 8 4 1
94;92;3887,843;10 4 9 11 5 7 3 6 2 8 12 1
95;86;3848,964;10 4 12 11 5 7 3 6 2 8 9 1
96;86;3810,475;10 7 12 11 5 4 3 6 2 8 9 1
97;86;3772,37;10 3 12 11 5 4 7 6 2 8 9 1
98;82;3734,646;10 3 12 11 5 4 7 6 2 1 9 8
99;82;3697,3;10 8 12 11 5 4 7 6 2 1 9 3
100;75;3660,327;10 8 12 11 3 4 7 6 2 1 9 5
101;61;3623,724;4 8 12 11 3 10 7 6 2 1 9 5
102;65;3587,487;4 8 12 11 3 9 7 6 2 1 10 5
103;67;3551,612;4 8 12 11 3 9 6 7 2 1 10 5
104;72;3516,096;4 8 12 11 3 9 6 5 2 1 10 7
105;72;3480,935;4 8 12 11 3 9 6 5 1 2 10 7
106;76;3446,125;4 8 12 11 5 9 6 3 1 2 10 7
107;82;3411,664;2 8 12 11 5 9 6 3 1 4 10 7
108;74;3377,548;2 8 12 11 5 9 6 10 1 4 3 7
109;69;3343,772;2 8 12 11 7 9 6 10 1 4 3 5
110;91;3310,334;2 8 9 11 7 12 6 10 1 4 3 5
111;94;3277,231;2 8 9 11 7 12 6 10 5 4 3 1
112;94;3244,459;2 8 9 11 5 12 6 10 7 4 3 1
113;96;3212,014;2 8 9 11 5 12 1 10 7 4 3 6
114;80;3179,894;2 6 9 11 5 12 1 10 7 4 3 8
115;76;3148,095;2 6 9 12 5 11 1 10 7 4 3 8
116;80;3116,615;2 6 9 11 5 12 1 10 7 4 3 8
117;80;3085,448;2 9 6 11 5 12 1 10 7 4 3 8
118;70;3054,594;2 9 6 3 5 12 1 10 7 4 11 8
119;78;3024,048;12 9 6 3 5 2 1 10 7 4 11 8
120;94;2993,808;12 11 6 3 5 2 1 10 7 4 9 8
121;108;2963,87;12 11 6 3 2 5 1 10 7 4 9 8
122;118;2934,231;10 11 6 3 2 5 1 12 7 4 9 8
123;116;2904,889;10 8 6 3 2 5 1 12 7 4 9 11
124;92;2875,84;10 9 6 3 2 5 1 12 7 4 8 11
125;92;2847,082;10 9 1 3 2 5 6 12 7 4 8 11
126;92;2818,611;12 9 1 3 2 5 6 10 7 4 8 11
127;80;2790,425;12 9 1 4 2 5 6 10 7 3 8 11
128;88;2762,521;12 9 1 4 6 5 2 10 7 3 8 11
129;94;2734,895;12 9 1 4 7 5 2 10 6 3 8 11
130;80;2707,546;12 9 1 4 7 5 3 10 6 2 8 11
131;90;2680,471;12 9 1 4 7 5 6 10 3 2 8 11
132;86;2653,666;12 9 1 4 7 10 6 5 3 2 8 11
133;78;2627,13;11 9 1 4 7 10 6 5 3 2 8 12
134;78;2600,858;11 1 9 4 7 10 6 5 3 2 8 12
135;82;2574,85;11 1 9 4 7 5 6 10 3 2 8 12
136;88;2549,101;11 5 9 4 7 1 6 10 3 2 8 12
137;82;2523,61;11 6 9 4 7 1 5 10 3 2 8 12
138;98;2498,374;11 10 9 4 7 1 5 6 3 2 8 12
139;88;2473,391;11 10 9 5 7 1 4 6 3 2 8 12
140;80;2448,657;11 10 9 5 7 1 4 3 6 2 8 12
141;74;2424,17;2 10 9 5 7 1 4 3 6 11 8 12
142;82;2399,928;2 10 9 4 7 1 5 3 6 11 8 12
143;82;2375,929;1 10 9 4 7 2 5 3 6 11 8 12
144;100;2352,17;12 10 9 4 7 2 5 3 6 11 8 1
145;86;2328,648;2 10 9 4 7 12 5 3 6 11 8 1
146;97;2305,362;2 10 9 4 7 12 1 3 6 11 8 5
147;98;2282,308;2 10 9 4 7 12 1 3 6 5 8 11
148;102;2259,485;10 2 9 4 7 12 1 3 6 5 8 11
149;88;2236,89;10 2 9 6 7 12 1 3 4 5 8 11
150;80;2214,521;10 2 9 6 7 1 12 3 4 5 8 11
151;78;2192,376;10 9 2 6 7 1 12 3 4 5 8 11
152;78;2170,452;10 9 6 2 7 1 12 3 4 5 8 11
153;78;2148,748;10 9 6 2 7 1 12 11 4 5 8 3
154;76;2127,26;10 1 6 2 7 9 12 11 4 5 8 3
155;66;2105,988;10 7 6 2 1 9 12 11 4 5 8 3
156;78;2084,928;10 7 6 4 1 9 12 11 2 5 8 3
157;74;2064,079;10 7 6 4 1 9 12 11 2 5 3 8
158;84;2043,438;10 7 6 4 1 12 9 11 2 5 3 8
159;68;2023,004;10 7 6 4 1 2 9 11 12 5 3 8
160;64;2002,774;10 7 6 4 11 2 9 1 12 5 3 8
161;82;1982,746;10 4 6 7 11 2 9 1 12 5 3 8
162;90;1962,918;10 4 6 7 5 2 9 1 12 11 3 8
163;108;1943,289;10 4 6 7 5 2 3 1 12 11 9 8
164;92;1923,856;10 4 3 7 5 2 6 1 12 11 9 8
165;90;1904,618;10 4 3 12 5 2 6 1 7 11 9 8
166;88;1885,572;10 4 3 12 5 2 6 7 1 11 9 8
167;82;1866,716;10 4 3 12 5 2 11 7 1 6 9 8
168;76;1848,049;10 4 3 12 11 2 5 7 1 6 9 8
169;76;1829,568;11 4 3 12 10 2 5 7 1 6 9 8
170;76;1811,273;10 4 3 12 11 2 5 7 1 6 9 8
171;84;1793,16;3 4 10 12 11 2 5 7 1 6 9 8
172;84;1775,229;3 4 10 12 11 2 7 5 1 6 9 8
173;80;1757,476;3 4 2 12 11 10 7 5 1 6 9 8
174;88;1739,901;3 1 2 12 11 10 7 5 4 6 9 8
175;92;1722,502;3 1 2 12 11 10 8 5 4 6 9 7
176;84;1705,277;5 1 2 12 11 10 8 3 4 6 9 7
