Iteration,Cost,Sequence
0,203,18 11 2 7 3 5 13 12 15 8 14 17 1 6 20 9 10 19 4 16
1,179,18 11 2 7 3 5 13 10 15 8 14 17 1 6 20 9 12 19 4 16
2,179,18 11 3 7 2 5 13 10 15 8 14 17 1 6 20 9 12 19 4 16
3,175,18 11 3 7 2 5 13 19 15 8 14 17 1 6 20 9 12 10 4 16
4,173,18 19 3 7 2 5 13 11 15 8 14 17 1 6 20 9 12 10 4 16
5,173,18 19 3 7 2 5 13 11 15 8 14 17 1 6 20 9 12 10 4 16
6,173,18 19 3 7 2 5 13 11 15 8 14 17 1 6 20 9 12 10 4 16
7,173,18 19 3 7 2 5 13 11 15 8 14 17 1 6 20 9 12 10 4 16
8,173,18 19 3 7 2 5 13 11 15 8 14 17 1 6 20 9 12 10 4 16
9,161,18 19 3 7 2 5 13 11 15 17 14 8 1 6 20 9 12 10 4 16
10,161,18 19 3 7 2 5 13 11 15 17 14 8 1 6 20 9 12 10 4 16
11,155,18 19 3 20 2 5 13 11 15 17 14 8 1 6 7 9 12 10 4 16
12,155,18 19 3 20 2 5 13 11 15 17 14 8 1 6 7 9 12 10 4 16
13,155,18 19 3 20 2 5 13 11 15 17 14 8 1 6 7 9 12 10 4 16
14,155,18 19 3 20 2 5 13 11 17 15 14 8 1 6 7 9 12 10 4 16
15,135,18 19 3 11 2 5 13 20 17 15 14 8 1 6 7 9 12 10 4 16
16,131,18 19 12 11 2 5 13 20 17 15 14 8 1 6 7 9 3 10 4 16
17,131,18 19 12 11 2 5 13 20 17 15 14 8 1 6 7 9 3 10 4 16
18,131,18 19 12 11 2 5 13 20 17 15 14 8 1 6 7 9 3 10 4 16
19,131,18 19 12 11 2 5 13 20 17 15 14 8 1 6 7 9 3 10 4 16
20,125,18 19 12 11 9 5 13 20 17 15 14 8 1 6 7 2 3 10 4 16
21,125,18 19 12 11 9 5 13 20 17 15 14 8 1 6 7 2 3 10 4 16
22,125,18 19 12 11 9 5 13 20 17 15 14 8 1 6 7 2 3 10 4 16
23,125,18 19 12 11 9 5 13 20 17 15 14 8 1 6 7 3 2 10 4 16
24,125,18 19 12 5 9 11 13 20 17 15 14 8 1 6 7 3 2 10 4 16
25,125,18 19 12 5 9 11 13 20 17 15 14 8 1 6 7 3 2 10 4 16
26,125,18 19 12 5 9 11 13 20 17 15 14 8 1 6 7 3 2 10 4 16
27,125,18 19 12 5 9 11 13 20 17 15 14 8 1 6 7 3 2 10 4 16
28,125,18 19 12 5 9 11 13 20 17 15 14 8 1 6 7 3 2 10 4 16
29,125,18 19 12 5 9 11 13 20 17 15 14 8 1 6 7 3 2 10 4 16
30,125,18 19 12 5 9 11 13 20 17 15 14 8 1 6 7 3 2 10 4 16
31,125,18 19 12 5 9 11 13 20 17 15 14 8 1 6 7 3 2 10 4 16
32,125,18 19 12 5 9 11 13 20 17 15 14 8 1 6 7 3 2 10 4 16
33,125,18 19 12 5 9 11 13 20 17 15 14 8 1 6 7 3 2 10 4 16
34,125,20 19 12 5 9 11 13 18 17 15 14 8 1 6 7 3 2 10 4 16
35,125,20 19 12 5 9 11 13 18 17 15 14 8 1 6 7 3 2 10 4 16
36,125,20 19 12 5 9 11 13 18 17 15 14 8 1 6 7 3 2 10 4 16
37,125,20 19 12 5 9 11 13 18 17 15 14 8 1 6 7 3 2 10 4 16
38,125,20 19 12 5 9 11 13 18 17 15 14 8 1 6 7 3 2 10 4 16
39,125,20 19 12 5 9 11 13 18 17 15 14 8 1 6 7 3 2 10 4 16
40,125,20 19 12 5 9 11 13 18 17 15 14 8 1 6 7 3 2 10 4 16
41,125,20 19 12 5 9 11 13 18 17 15 14 8 1 6 7 3 2 10 4 16
42,125,20 19 12 5 9 11 13 18 17 15 14 8 1 6 7 3 2 10 4 16
43,125,20 19 12 5 9 11 13 18 17 15 14 8 1 6 7 3 2 10 4 16
44,125,20 19 12 5 9 11 13 18 17 15 14 8 1 6 7 3 2 10 4 16
45,125,20 19 12 5 9 11 13 18 17 15 14 8 6 1 7 3 2 10 4 16
46,123,20 19 9 5 12 11 13 18 17 15 14 8 6 1 7 3 2 10 4 16
47,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 4 16
48,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 4 16
49,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 4 16
50,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
51,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
52,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
53,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
54,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
55,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
56,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
57,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
58,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
59,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
60,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
61,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
62,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
63,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
64,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
65,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
66,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
67,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
68,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
69,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
70,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
71,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
72,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
73,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
74,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
75,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
76,123,20 19 9 5 12 11 13 18 17 15 14 8 7 1 6 3 2 10 16 4
77,123,20 19 9 5 12 11 13 18 15 17 14 8 7 1 6 3 2 10 16 4
78,123,20 19 9 5 12 11 13 18 15 17 14 8 7 1 6 3 2 10 16 4
79,123,20 19 9 5 12 11 13 18 15 17 4 8 7 1 6 3 2 10 16 14
80,123,20 19 9 5 12 11 13 18 15 17 4 8 7 1 6 3 2 10 16 14
81,123,20 19 9 5 12 11 13 18 15 17 4 8 7 1 6 3 2 10 16 14
82,123,20 19 9 5 12 11 13 18 15 17 4 8 7 1 6 3 2 10 16 14
83,123,20 19 9 5 12 11 13 18 15 17 4 8 7 1 6 3 2 10 16 14
84,123,20 19 9 5 12 11 13 18 15 17 4 8 7 1 6 3 2 10 16 14
85,123,20 19 9 5 12 11 13 18 15 17 4 8 7 1 6 3 2 10 16 14
86,123,20 19 9 5 12 11 13 18 15 17 4 8 7 1 6 3 2 10 16 14
87,121,20 19 9 5 12 11 13 18 15 14 4 8 7 1 6 3 2 10 16 17
88,121,20 19 9 5 12 11 13 18 15 14 4 8 7 1 6 3 2 10 16 17
89,121,20 19 9 5 12 11 13 18 15 14 4 8 7 1 6 3 2 10 16 17
90,121,20 19 9 5 12 11 13 18 15 14 4 8 7 1 6 3 2 10 16 17
91,121,20 19 9 5 12 11 13 18 15 14 4 8 7 1 6 3 2 10 16 17
92,121,20 19 9 5 12 11 13 18 15 14 4 8 7 1 6 3 2 10 16 17
93,121,20 19 9 5 12 11 13 18 15 14 4 8 7 1 6 3 2 10 16 17
94,121,20 19 9 5 12 11 13 18 15 14 4 8 7 1 6 3 2 10 16 17
95,121,20 19 9 5 12 11 13 18 15 14 4 8 7 1 6 3 2 10 16 17
96,121,20 19 9 5 12 11 13 18 15 14 4 8 7 1 6 3 2 10 16 17
97,121,20 19 9 5 12 11 13 18 15 14 4 8 7 1 6 3 2 10 16 17
98,121,20 19 9 5 12 11 13 18 15 14 4 8 7 1 6 3 2 10 16 17
99,115,20 19 9 5 12 11 13 18 15 14 4 8 7 1 2 3 6 10 16 17
100,109,20 19 9 5 12 11 13 18 15 14 4 6 7 1 2 3 8 10 16 17
101,109,20 19 9 5 12 11 13 18 15 14 4 6 7 1 2 3 8 10 16 17
102,109,20 19 9 5 12 11 13 18 15 14 4 6 7 1 2 3 8 10 16 17
103,109,20 19 9 5 12 11 13 18 15 14 4 6 7 1 2 3 8 10 16 17
104,109,20 19 9 5 12 11 13 18 15 14 4 6 7 1 2 3 8 10 16 17
