Iteration;Cost;Temperature;Sequence
0;179;10000;16 12 18 1 13 14 19 7 15 6 4 20 17 8 11 5 3 9 10 2
1;185;9900;16 12 18 1 13 14 19 7 17 6 4 20 15 8 11 5 3 9 10 2
2;195;9801;14 12 18 1 13 16 19 7 17 6 4 20 15 8 11 5 3 9 10 2
3;197;9702,99;14 12 18 1 13 16 19 7 17 6 4 20 15 8 11 10 3 9 5 2
4;205;9605,96;14 12 18 1 13 16 19 7 17 3 4 20 15 8 11 10 6 9 5 2
5;211;9509,9;14 12 18 1 13 16 19 7 17 3 4 20 15 8 9 10 6 11 5 2
6;215;9414,802;14 12 18 1 13 16 19 7 17 3 10 20 15 8 9 4 6 11 5 2
7;221;9320,654;14 12 18 1 5 16 19 7 17 3 10 20 15 8 9 4 6 11 13 2
8;209;9227,448;14 12 18 1 5 16 15 7 17 3 10 20 19 8 9 4 6 11 13 2
9;221;9135,174;14 12 18 1 5 16 4 7 17 3 10 20 19 8 9 15 6 11 13 2
10;235;9043,822;14 7 18 1 5 16 4 12 17 3 10 20 19 8 9 15 6 11 13 2
11;237;8953,384;14 7 18 1 5 16 4 12 17 3 10 20 13 8 9 15 6 11 19 2
12;225;8863,85;14 7 18 1 5 11 4 12 17 3 10 20 13 8 9 15 6 16 19 2
13;221;8775,211;14 7 20 1 5 11 4 12 17 3 10 18 13 8 9 15 6 16 19 2
14;217;8687,459;14 7 20 1 5 11 4 12 17 18 10 3 13 8 9 15 6 16 19 2
15;205;8600,585;14 7 20 3 5 11 4 12 17 18 10 1 13 8 9 15 6 16 19 2
16;205;8514,579;14 7 20 3 5 11 2 12 17 18 10 1 13 8 9 15 6 16 19 4
17;197;8429,434;14 7 18 3 5 11 2 12 17 20 10 1 13 8 9 15 6 16 19 4
18;177;8345,14;14 7 9 3 5 11 2 12 17 20 10 1 13 8 18 15 6 16 19 4
19;155;8261,688;14 19 9 3 5 11 2 12 17 20 10 1 13 8 18 15 6 16 7 4
20;167;8179,072;14 6 9 3 5 11 2 12 17 20 10 1 13 8 18 15 19 16 7 4
21;157;8097,281;14 6 9 3 5 2 11 12 17 20 10 1 13 8 18 15 19 16 7 4
22;171;8016,309;14 3 9 6 5 2 11 12 17 20 10 1 13 8 18 15 19 16 7 4
23;167;7936,146;16 3 9 6 5 2 11 12 17 20 10 1 13 8 18 15 19 14 7 4
24;173;7856,784;16 3 9 6 5 2 11 12 17 7 10 1 13 8 18 15 19 14 20 4
25;173;7778,216;16 3 9 6 5 2 11 12 17 7 10 1 13 8 18 15 20 14 19 4
26;195;7700,434;16 20 9 6 5 2 11 12 17 7 10 1 13 8 18 15 3 14 19 4
27;211;7623,43;1 20 9 6 5 2 11 12 17 7 10 16 13 8 18 15 3 14 19 4
28;195;7547,195;1 20 9 6 5 3 11 12 17 7 10 16 13 8 18 15 2 14 19 4
29;187;7471,724;1 20 9 6 5 3 11 12 17 7 10 2 13 8 18 15 16 14 19 4
30;199;7397,006;1 20 9 6 5 3 11 12 17 8 10 2 13 7 18 15 16 14 19 4
31;193;7323,036;1 20 9 6 5 3 11 12 17 19 10 2 13 7 18 15 16 14 8 4
32;197;7249,806;1 20 3 6 5 9 11 12 17 19 10 2 13 7 18 15 16 14 8 4
33;215;7177,308;1 20 3 15 5 9 11 12 17 19 10 2 13 7 18 6 16 14 8 4
34;199;7105,535;1 20 3 15 5 9 11 12 17 19 10 2 13 7 4 6 16 14 8 18
35;221;7034,479;11 20 3 15 5 9 1 12 17 19 10 2 13 7 4 6 16 14 8 18
36;197;6964,135;11 20 15 3 5 9 1 12 17 19 10 2 13 7 4 6 16 14 8 18
37;193;6894,494;11 20 15 3 5 9 1 12 17 14 10 2 13 7 4 6 16 19 8 18
38;197;6825,549;11 20 15 7 5 9 1 12 17 14 10 2 13 3 4 6 16 19 8 18
39;201;6757,293;11 20 15 7 5 9 1 12 17 14 10 2 13 3 4 6 18 19 8 16
40;179;6689,721;1 20 15 7 5 9 11 12 17 14 10 2 13 3 4 6 18 19 8 16
41;189;6622,824;1 20 12 7 5 9 11 15 17 14 10 2 13 3 4 6 18 19 8 16
42;221;6556,596;1 20 12 7 17 9 11 15 5 14 10 2 13 3 4 6 18 19 8 16
43;215;6491,03;1 20 12 7 17 9 11 15 5 14 10 2 13 3 4 8 18 19 6 16
44;215;6426,12;1 20 12 7 17 9 2 15 5 14 10 11 13 3 4 8 18 19 6 16
45;221;6361,858;1 20 12 7 16 9 2 15 5 14 10 11 13 3 4 8 18 19 6 17
46;213;6298,24;1 20 18 7 16 9 2 15 5 14 10 11 13 3 4 8 12 19 6 17
47;215;6235,257;1 20 18 7 16 9 2 15 5 14 10 11 13 12 4 8 3 19 6 17
48;241;6172,905;3 20 18 7 16 9 2 15 5 14 10 11 13 12 4 8 1 19 6 17
49;237;6111,176;3 11 18 7 16 9 2 15 5 14 10 20 13 12 4 8 1 19 6 17
50;227;6050,064;3 11 9 7 16 18 2 15 5 14 10 20 13 12 4 8 1 19 6 17
51;223;5989,563;3 11 9 7 16 18 1 15 5 14 10 20 13 12 4 8 2 19 6 17
52;225;5929,668;3 11 9 7 16 18 4 15 5 14 10 20 13 12 1 8 2 19 6 17
53;237;5870,372;3 8 9 7 16 18 4 15 5 14 10 20 13 12 1 11 2 19 6 17
54;227;5811,668;3 8 9 7 16 18 4 15 5 14 10 20 13 12 1 11 17 19 6 2
55;235;5753,551;3 14 9 7 16 18 4 15 5 8 10 20 13 12 1 11 17 19 6 2
56;231;5696,016;3 14 9 7 16 18 4 15 10 8 5 20 13 12 1 11 17 19 6 2
57;237;5639,056;3 14 9 7 17 18 4 15 10 8 5 20 13 12 1 11 16 19 6 2
58;231;5582,665;3 13 9 7 17 18 4 15 10 8 5 20 14 12 1 11 16 19 6 2
59;227;5526,838;3 13 9 7 17 18 4 15 10 8 5 1 14 12 20 11 16 19 6 2
60;215;5471,57;3 13 9 7 17 18 4 1 10 8 5 15 14 12 20 11 16 19 6 2
61;219;5416,854;3 13 9 7 17 18 4 10 1 8 5 15 14 12 20 11 16 19 6 2
62;219;5362,686;3 20 9 7 17 18 4 10 1 8 5 15 14 12 13 11 16 19 6 2
63;214;5309,059;2 20 9 7 17 18 4 10 1 8 5 15 14 12 13 11 16 19 6 3
64;206;5255,968;2 20 9 7 17 18 8 10 1 4 5 15 14 12 13 11 16 19 6 3
65;211;5203,409;2 20 9 7 17 18 8 10 1 4 3 15 14 12 13 11 16 19 6 5
66;209;5151,375;2 20 9 7 17 18 8 10 1 4 3 15 16 12 13 11 14 19 6 5
67;225;5099,861;2 20 9 7 17 18 8 10 16 4 3 15 1 12 13 11 14 19 6 5
68;223;5048,862;2 20 18 7 17 9 8 10 16 4 3 15 1 12 13 11 14 19 6 5
69;221;4998,374;2 20 18 7 17 9 8 10 16 4 3 15 1 5 13 11 14 19 6 12
70;233;4948,39;2 20 18 7 17 9 8 10 4 16 3 15 1 5 13 11 14 19 6 12
71;229;4898,906;2 20 18 8 17 9 7 10 4 16 3 15 1 5 13 11 14 19 6 12
72;231;4849,917;2 20 18 8 17 9 7 10 4 16 3 15 1 5 13 12 14 19 6 11
73;231;4801,418;8 20 18 2 17 9 7 10 4 16 3 15 1 5 13 12 14 19 6 11
74;235;4753,404;8 20 2 18 17 9 7 10 4 16 3 15 1 5 13 12 14 19 6 11
75;237;4705,87;8 20 2 18 17 9 7 10 4 16 3 15 1 5 14 12 13 19 6 11
76;233;4658,811;7 20 2 18 17 9 8 10 4 16 3 15 1 5 14 12 13 19 6 11
77;237;4612,223;7 20 2 18 17 12 8 10 4 16 3 15 1 5 14 9 13 19 6 11
78;199;4566,101;7 20 15 18 17 12 8 10 4 16 3 2 1 5 14 9 13 19 6 11
79;173;4520,44;7 20 15 18 17 14 8 10 4 16 3 2 1 5 12 9 13 19 6 11
80;207;4475,235;7 20 15 18 1 14 8 10 4 16 3 2 17 5 12 9 13 19 6 11
81;197;4430,483;7 20 15 18 1 2 8 10 4 16 3 14 17 5 12 9 13 19 6 11
82;205;4386,178;7 20 6 18 1 2 8 10 4 16 3 14 17 5 12 9 13 19 15 11
83;205;4342,316;7 20 6 18 14 2 8 10 4 16 3 1 17 5 12 9 13 19 15 11
84;187;4298,893;7 20 6 15 14 2 8 10 4 16 3 1 17 5 12 9 13 19 18 11
85;189;4255,904;7 20 6 15 14 2 8 10 4 16 3 1 13 5 12 9 17 19 18 11
86;169;4213,345;7 20 6 15 14 16 8 10 4 2 3 1 13 5 12 9 17 19 18 11
87;175;4171,212;7 20 6 15 14 16 8 10 4 2 3 1 18 5 12 9 17 19 13 11
88;191;4129,5;3 20 6 15 14 16 8 10 4 2 7 1 18 5 12 9 17 19 13 11
89;175;4088,205;3 5 6 15 14 16 8 10 4 2 7 1 18 20 12 9 17 19 13 11
90;173;4047,323;3 5 7 15 14 16 8 10 4 2 6 1 18 20 12 9 17 19 13 11
91;175;4006,85;3 9 7 15 14 16 8 10 4 2 6 1 18 20 12 5 17 19 13 11
92;161;3966,781;3 9 7 15 14 16 8 10 4 2 6 1 18 19 12 5 17 20 13 11
93;159;3927,114;3 9 7 15 14 16 8 10 4 2 6 1 11 19 12 5 17 20 13 18
94;191;3887,843;3 9 7 15 14 16 8 10 19 2 6 1 11 4 12 5 17 20 13 18
95;199;3848,964;3 9 7 15 13 16 8 10 19 2 6 1 11 4 12 5 17 20 14 18
96;203;3810,475;3 9 17 15 13 16 8 10 19 2 6 1 11 4 12 5 7 20 14 18
97;191;3772,37;3 9 17 15 13 16 8 20 19 2 6 1 11 4 12 5 7 10 14 18
98;191;3734,646;3 9 14 15 13 16 8 20 19 2 6 1 11 4 12 5 7 10 17 18
99;191;3697,3;3 9 14 15 13 16 8 20 19 18 6 1 11 4 12 5 7 10 17 2
100;191;3660,327;3 9 14 15 6 16 8 20 19 18 13 1 11 4 12 5 7 10 17 2
101;203;3623,724;19 9 14 15 6 16 8 20 3 18 13 1 11 4 12 5 7 10 17 2
102;193;3587,487;19 9 14 15 6 16 8 3 20 18 13 1 11 4 12 5 7 10 17 2
103;193;3551,612;3 9 14 15 6 16 8 19 20 18 13 1 11 4 12 5 7 10 17 2
104;199;3516,096;3 9 14 15 6 16 8 19 20 18 13 1 11 4 12 2 7 10 17 5
105;205;3480,935;3 9 14 15 6 16 8 19 20 4 13 1 11 18 12 2 7 10 17 5
106;209;3446,125;3 9 14 15 6 16 8 19 10 4 13 1 11 18 12 2 7 20 17 5
107;205;3411,664;3 9 14 15 6 11 8 19 10 4 13 1 16 18 12 2 7 20 17 5
108;215;3377,548;3 9 14 15 6 11 8 19 10 4 13 1 12 18 16 2 7 20 17 5
109;203;3343,772;3 9 14 15 6 11 8 16 10 4 13 1 12 18 19 2 7 20 17 5
110;199;3310,334;3 9 14 15 6 8 11 16 10 4 13 1 12 18 19 2 7 20 17 5
111;193;3277,231;3 9 11 15 6 8 14 16 10 4 13 1 12 18 19 2 7 20 17 5
112;211;3244,459;3 9 11 15 6 8 14 16 10 4 13 1 12 18 2 19 7 20 17 5
113;213;3212,014;3 9 11 15 16 8 14 6 10 4 13 1 12 18 2 19 7 20 17 5
114;213;3179,894;3 9 11 15 16 8 14 6 10 4 13 2 12 18 1 19 7 20 17 5
115;215;3148,095;14 9 11 15 16 8 3 6 10 4 13 2 12 18 1 19 7 20 17 5
116;191;3116,615;14 9 11 15 16 19 3 6 10 4 13 2 12 18 1 8 7 20 17 5
117;193;3085,448;14 9 11 15 16 12 3 6 10 4 13 2 19 18 1 8 7 20 17 5
118;197;3054,594;14 9 11 15 16 3 12 6 10 4 13 2 19 18 1 8 7 20 17 5
119;205;3024,048;14 9 11 15 16 3 13 6 10 4 12 2 19 18 1 8 7 20 17 5
120;185;2993,808;14 9 11 15 16 3 13 6 10 4 2 12 19 18 1 8 7 20 17 5
121;189;2963,87;14 9 11 15 2 3 13 6 10 4 16 12 19 18 1 8 7 20 17 5
122;193;2934,231;14 9 11 15 2 3 19 6 10 4 16 12 13 18 1 8 7 20 17 5
123;201;2904,889;14 9 11 15 10 3 19 6 2 4 16 12 13 18 1 8 7 20 17 5
124;207;2875,84;14 9 11 15 10 7 19 6 2 4 16 12 13 18 1 8 3 20 17 5
125;199;2847,082;5 9 11 15 10 7 19 6 2 4 16 12 13 18 1 8 3 20 17 14
