Iteration;Cost;Temperature;Sequence
0;189;1000;18 10 17 19 14 3 5 13 2 7 12 8 11 4 6 1 15 9 20 16
1;199;990;18 10 17 19 14 3 4 13 2 7 12 8 11 5 6 1 15 9 20 16
2;205;980,1;13 10 17 19 14 3 4 18 2 7 12 8 11 5 6 1 15 9 20 16
3;199;970,2991;13 9 17 19 14 3 4 18 2 7 12 8 11 5 6 1 15 10 20 16
4;197;960,5961;13 5 17 19 14 3 4 18 2 7 12 8 11 9 6 1 15 10 20 16
5;203;950,9901;13 5 17 19 14 3 4 18 2 7 15 8 11 9 6 1 12 10 20 16
6;201;941,4802;15 5 17 19 14 3 4 18 2 7 13 8 11 9 6 1 12 10 20 16
7;199;932,0654;15 5 17 19 3 14 4 18 2 7 13 8 11 9 6 1 12 10 20 16
8;201;922,7448;15 5 17 19 3 20 4 18 2 7 13 8 11 9 6 1 12 10 14 16
9;185;913,5174;4 5 17 19 3 20 15 18 2 7 13 8 11 9 6 1 12 10 14 16
10;189;904,3822;4 5 17 19 8 20 15 18 2 7 13 3 11 9 6 1 12 10 14 16
11;187;895,3384;4 5 17 20 8 19 15 18 2 7 13 3 11 9 6 1 12 10 14 16
12;203;886,385;4 17 5 20 8 19 15 18 2 7 13 3 11 9 6 1 12 10 14 16
13;205;877,5212;4 17 5 20 2 19 15 18 8 7 13 3 11 9 6 1 12 10 14 16
14;193;868,746;4 17 11 20 2 19 15 18 8 7 13 3 5 9 6 1 12 10 14 16
15;187;860,0585;4 7 11 20 2 19 15 18 8 17 13 3 5 9 6 1 12 10 14 16
16;187;851,4579;4 7 11 20 2 19 15 18 8 17 13 3 5 9 1 6 12 10 14 16
17;191;842,9434;4 7 11 20 2 19 15 14 8 17 13 3 5 9 1 6 12 10 18 16
18;195;834,5139;4 7 11 20 2 19 15 16 8 17 13 3 5 9 1 6 12 10 18 14
19;195;826,1688;4 7 15 20 2 19 11 16 8 17 13 3 5 9 1 6 12 10 18 14
20;199;817,9071;4 7 15 20 2 19 11 16 8 17 13 12 5 9 1 6 3 10 18 14
21;197;809,728;4 7 15 20 2 19 11 16 8 17 13 12 5 9 10 6 3 1 18 14
22;207;801,6307;4 7 10 20 2 19 11 16 8 17 13 12 5 9 15 6 3 1 18 14
23;211;793,6144;4 7 20 10 2 19 11 16 8 17 13 12 5 9 15 6 3 1 18 14
24;213;785,6783;8 7 20 10 2 19 11 16 4 17 13 12 5 9 15 6 3 1 18 14
25;201;777,8215;8 7 16 10 2 19 11 20 4 17 13 12 5 9 15 6 3 1 18 14
26;197;770,0433;19 7 16 10 2 8 11 20 4 17 13 12 5 9 15 6 3 1 18 14
27;207;762,3429;19 7 16 10 2 8 11 20 4 12 13 17 5 9 15 6 3 1 18 14
28;197;754,7195;19 7 16 10 2 8 11 20 4 12 13 17 15 9 5 6 3 1 18 14
29;187;747,1723;19 7 16 10 2 8 11 1 4 12 13 17 15 9 5 6 3 20 18 14
30;187;739,7006;19 7 16 10 2 11 8 1 4 12 13 17 15 9 5 6 3 20 18 14
31;197;732,3036;19 7 16 10 2 11 8 1 4 12 13 17 15 9 5 18 3 20 6 14
32;195;724,9805;19 7 16 10 2 11 8 1 4 12 13 17 14 9 5 18 3 20 6 15
33;193;717,7307;4 7 16 10 2 11 8 1 19 12 13 17 14 9 5 18 3 20 6 15
34;189;710,5534;4 7 16 10 2 20 8 1 19 12 13 17 14 9 5 18 3 11 6 15
35;189;703,4479;4 7 16 10 2 20 19 1 8 12 13 17 14 9 5 18 3 11 6 15
36;185;696,4134;4 7 16 10 2 20 17 1 8 12 13 19 14 9 5 18 3 11 6 15
37;199;689,4493;4 7 16 10 2 20 1 17 8 12 13 19 14 9 5 18 3 11 6 15
38;201;682,5548;2 7 16 10 4 20 1 17 8 12 13 19 14 9 5 18 3 11 6 15
39;217;675,7292;2 19 16 10 4 20 1 17 8 12 13 7 14 9 5 18 3 11 6 15
40;205;668,972;2 3 16 10 4 20 1 17 8 12 13 7 14 9 5 18 19 11 6 15
