Iteration,Cost,Sequence
0,207,3 19 15 11 9 20 1 13 2 8 4 12 5 16 7 17 14 10 6 18
1,203,3 19 15 11 9 12 1 13 2 8 4 20 5 16 7 17 14 10 6 18
2,203,3 19 15 11 9 12 1 13 2 8 4 20 5 16 7 17 14 10 6 18
3,199,3 19 15 11 9 12 1 13 2 8 20 4 5 16 7 17 14 10 6 18
4,199,17 19 15 11 9 12 1 13 2 8 20 4 5 16 7 3 14 10 6 18
5,199,17 19 15 11 9 12 1 13 2 8 20 4 5 16 7 3 14 10 6 18
6,199,17 19 15 11 9 12 1 13 2 8 20 4 5 16 7 3 14 10 6 18
7,179,17 19 15 11 9 12 20 13 2 8 1 4 5 16 7 3 14 10 6 18
8,179,17 19 15 11 9 12 20 13 2 8 1 4 5 16 7 3 14 10 6 18
9,179,17 19 15 12 9 11 20 13 2 8 1 4 5 16 7 3 14 10 6 18
10,177,20 19 15 12 9 11 17 13 2 8 1 4 5 16 7 3 14 10 6 18
11,177,20 19 15 12 9 11 17 13 2 8 1 4 5 16 7 3 14 10 6 18
12,177,20 19 15 12 9 11 17 13 2 8 1 4 5 16 7 3 14 10 6 18
13,177,20 19 15 12 9 11 17 13 2 8 1 4 5 16 7 3 14 10 6 18
14,177,20 19 15 12 9 11 17 13 2 1 8 4 5 16 7 3 14 10 6 18
15,177,20 19 15 12 9 11 17 13 2 1 8 4 5 16 7 3 14 10 6 18
16,171,20 19 15 12 9 11 17 13 8 1 2 4 5 16 7 3 14 10 6 18
17,171,20 19 15 12 9 11 17 13 8 1 2 4 5 16 7 3 14 10 6 18
18,171,20 19 15 12 9 11 17 13 8 1 2 4 5 16 7 3 14 10 6 18
19,171,20 19 15 18 9 11 17 13 8 1 2 4 5 16 7 3 14 10 6 12
20,171,20 19 15 18 9 11 17 13 8 1 2 4 5 16 7 3 14 10 6 12
21,164,20 19 15 18 12 11 17 13 8 1 2 4 5 16 7 3 14 10 6 9
22,164,20 19 15 18 12 11 17 13 8 1 4 2 5 16 7 3 14 10 6 9
23,164,20 19 15 18 12 3 17 13 8 1 4 2 5 16 7 11 14 10 6 9
24,164,20 19 15 18 12 3 17 16 8 1 4 2 5 13 7 11 14 10 6 9
25,164,20 19 15 18 12 3 17 16 8 1 4 2 5 13 7 11 14 10 6 9
26,160,20 16 15 18 12 3 17 19 8 1 4 2 5 13 7 11 14 10 6 9
27,160,20 16 15 18 12 3 17 19 8 1 4 2 5 13 7 11 14 10 6 9
28,160,20 16 15 18 12 3 17 19 8 1 4 2 5 13 7 11 14 10 6 9
29,160,20 16 15 18 12 3 17 19 8 1 4 2 5 13 7 11 14 10 6 9
30,160,20 16 15 18 12 3 17 19 8 1 4 2 5 13 7 11 14 10 6 9
31,160,20 16 15 18 12 3 17 19 8 1 4 2 5 13 7 11 14 10 6 9
32,160,20 16 15 18 12 3 17 19 8 1 4 2 5 13 7 11 14 10 6 9
33,160,20 16 15 18 12 3 17 19 8 1 4 2 5 13 7 11 14 10 6 9
34,160,20 16 15 18 12 3 17 19 8 1 4 2 5 13 7 11 14 10 6 9
35,160,20 16 15 18 12 5 17 19 8 1 4 2 3 13 7 11 14 10 6 9
36,160,20 16 15 18 12 5 17 19 8 1 4 2 3 13 7 11 14 10 6 9
37,160,20 16 15 18 12 5 17 19 8 1 4 2 3 13 7 11 14 10 6 9
38,156,20 16 15 18 12 5 17 19 8 1 4 2 3 6 7 11 14 10 13 9
39,156,20 16 15 18 12 5 17 19 8 1 4 2 3 6 7 11 14 10 13 9
40,156,20 16 15 18 12 5 17 19 8 1 4 2 3 6 7 11 14 10 13 9
41,156,20 16 15 18 12 5 17 19 8 1 4 2 3 6 7 11 14 10 13 9
42,156,20 16 15 18 5 12 17 19 8 1 4 2 3 6 7 11 14 10 13 9
43,156,20 16 15 18 5 12 17 19 8 1 4 2 3 6 7 11 14 10 13 9
44,156,20 16 15 18 5 12 17 19 8 1 4 2 3 6 7 11 14 10 13 9
45,156,20 16 15 18 5 12 17 19 8 1 4 2 3 6 7 11 14 10 13 9
46,156,20 16 15 18 5 12 17 19 8 1 4 2 3 6 7 11 14 10 13 9
47,156,20 16 15 18 5 12 17 19 8 1 4 2 3 6 7 11 14 10 13 9
48,152,20 16 15 18 5 12 17 19 8 1 4 2 3 6 7 11 10 14 13 9
49,152,20 16 15 18 5 12 17 19 8 1 4 2 3 6 7 11 10 14 13 9
50,148,20 16 15 18 5 12 17 19 8 4 1 2 3 6 7 11 10 14 13 9
51,148,20 16 15 18 5 12 17 19 8 4 1 2 3 6 7 11 10 14 13 9
52,148,20 16 15 18 5 12 17 19 8 4 1 2 3 6 7 11 10 14 13 9
53,148,20 16 15 18 5 12 17 19 8 4 1 2 3 6 7 11 10 14 13 9
54,138,20 16 15 18 5 12 19 17 8 4 1 2 3 6 7 11 10 14 13 9
55,138,20 16 15 18 5 12 19 17 8 4 1 2 3 6 7 11 10 14 13 9
56,138,20 16 15 18 5 12 19 17 8 4 1 2 3 6 7 11 10 14 13 9
57,138,20 16 15 18 5 12 19 17 8 4 1 2 3 6 7 11 10 14 13 9
58,138,20 16 15 18 5 12 19 17 8 4 1 2 3 6 7 11 10 14 13 9
59,138,20 16 15 18 5 12 19 17 8 4 1 2 3 6 7 11 10 14 13 9
60,138,20 16 15 18 5 12 19 17 8 4 1 2 3 6 7 11 10 14 13 9
61,138,20 16 15 18 5 12 19 17 8 4 1 2 3 6 7 11 10 14 13 9
62,138,20 16 15 18 5 12 19 17 8 4 1 2 3 6 7 11 10 14 13 9
63,138,20 16 15 18 5 12 19 17 8 4 1 2 3 6 7 11 10 14 13 9
64,138,20 16 15 18 5 12 19 17 8 4 1 2 3 6 7 11 10 14 13 9
65,138,20 16 15 18 5 12 19 17 8 4 1 2 3 6 7 11 10 14 13 9
66,138,20 16 15 18 5 12 19 17 8 4 1 2 3 6 7 11 10 14 13 9
67,136,20 16 15 18 5 12 19 17 14 4 1 2 3 6 7 11 10 8 13 9
