Iteration;Cost;Temperature;Sequence
0;546;100;24 21 12 10 1 11 18 9 16 2 19 23 13 20 22 6 17 14 4 3 7 8 15 5
1;554;90;24 21 12 10 1 11 18 9 16 2 19 23 13 20 22 7 17 14 4 3 6 8 15 5
2;532;81;24 21 12 10 15 11 18 9 16 2 19 23 13 20 22 7 17 14 4 3 6 8 1 5
3;540;72,9;24 21 12 10 15 11 18 9 16 2 19 23 13 20 22 7 8 14 4 3 6 17 1 5
4;542;65,61;24 21 12 10 15 11 18 9 16 2 13 23 19 20 22 7 8 14 4 3 6 17 1 5
5;544;59,049;24 21 12 10 15 11 18 9 16 2 13 23 19 20 22 7 8 6 4 3 14 17 1 5
6;556;53,1441;24 21 12 10 1 11 18 9 16 2 13 23 19 20 22 7 8 6 4 3 14 17 15 5
7;524;47,82969;24 21 19 10 1 11 18 9 16 2 13 23 12 20 22 7 8 6 4 3 14 17 15 5
8;524;43,04672;24 21 19 9 1 11 18 10 16 2 13 23 12 20 22 7 8 6 4 3 14 17 15 5
9;560;38,74205;24 21 19 8 1 11 18 10 16 2 13 23 12 20 22 7 9 6 4 3 14 17 15 5
10;560;34,86784;24 21 19 8 1 11 18 10 16 2 13 23 12 20 22 7 9 6 4 3 14 17 15 5
11;560;31,38106;24 21 19 8 1 11 18 10 16 2 13 23 12 20 22 7 9 6 4 3 14 17 15 5
12;552;28,24295;24 21 10 8 1 11 18 19 16 2 13 23 12 20 22 7 9 6 4 3 14 17 15 5
13;552;25,41866;24 21 10 8 1 11 18 19 16 2 13 23 12 20 22 7 9 6 4 3 14 17 15 5
14;535;22,87679;24 21 10 8 1 11 18 19 16 5 13 23 12 20 22 7 9 6 4 3 14 17 15 2
15;535;20,58911;24 21 10 8 1 11 18 19 16 5 13 23 12 20 22 7 9 6 4 3 14 17 15 2
16;551;18,5302;24 21 10 8 1 18 11 19 16 5 13 23 12 20 22 7 9 6 4 3 14 17 15 2
17;551;16,67718;24 21 10 8 1 18 11 19 16 5 13 6 12 20 22 7 9 23 4 3 14 17 15 2
18;543;15,00946;24 21 22 8 1 18 11 19 16 5 13 6 12 20 10 7 9 23 4 3 14 17 15 2
19;543;13,50851;24 21 22 8 1 18 11 19 16 5 13 6 12 20 10 7 9 23 4 3 14 17 15 2
20;543;12,15766;24 21 22 8 1 18 11 19 16 5 13 6 12 20 10 7 9 23 4 3 14 17 15 2
21;543;10,94189;24 21 22 17 1 18 11 19 16 5 13 6 12 20 10 7 9 23 4 3 14 8 15 2
22;515;9,847705;24 21 22 17 1 18 11 19 16 13 5 6 12 20 10 7 9 23 4 3 14 8 15 2
23;467;8,862934;24 21 22 17 1 10 11 19 16 13 5 6 12 20 18 7 9 23 4 3 14 8 15 2
24;467;7,976641;24 21 22 17 1 10 11 19 16 13 5 6 12 20 18 7 9 23 4 3 14 8 15 2
25;461;7,178977;24 21 22 17 1 10 11 19 16 13 5 6 12 20 9 7 18 23 4 3 14 8 15 2
26;443;6,461079;2 21 22 17 1 10 11 19 16 13 5 6 12 20 9 7 18 23 4 3 14 8 15 24
27;423;5,81497;2 21 22 17 1 10 11 19 16 13 5 6 12 15 9 7 18 23 4 3 14 8 20 24
28;423;5,233473;2 21 22 17 1 10 11 19 16 13 5 6 12 15 9 7 18 23 4 3 14 8 20 24
