Iteration;Cost;Temperature;Sequence
0;546;100;24 21 12 10 1 11 18 9 16 2 19 23 13 20 22 6 17 14 4 3 7 8 15 5
1;554;99;24 21 12 10 1 11 18 9 16 2 19 23 13 20 22 7 17 14 4 3 6 8 15 5
2;532;98,01;24 21 12 10 15 11 18 9 16 2 19 23 13 20 22 7 17 14 4 3 6 8 1 5
3;540;97,0299;24 21 12 10 15 11 18 9 16 2 19 23 13 20 22 7 8 14 4 3 6 17 1 5
4;542;96,0596;24 21 12 10 15 11 18 9 16 2 13 23 19 20 22 7 8 14 4 3 6 17 1 5
5;544;95,09901;24 21 12 10 15 11 18 9 16 2 13 23 19 20 22 7 8 6 4 3 14 17 1 5
6;556;94,14802;24 21 12 10 1 11 18 9 16 2 13 23 19 20 22 7 8 6 4 3 14 17 15 5
7;524;93,20654;24 21 19 10 1 11 18 9 16 2 13 23 12 20 22 7 8 6 4 3 14 17 15 5
8;524;92,27447;24 21 19 9 1 11 18 10 16 2 13 23 12 20 22 7 8 6 4 3 14 17 15 5
9;560;91,35172;24 21 19 8 1 11 18 10 16 2 13 23 12 20 22 7 9 6 4 3 14 17 15 5
10;566;90,43821;24 21 19 8 1 11 18 10 16 2 13 23 12 20 22 7 9 6 4 14 3 17 15 5
11;566;89,53383;24 21 19 8 1 11 18 10 16 2 13 23 12 20 22 7 9 6 4 14 3 17 15 5
12;558;88,63849;24 21 10 8 1 11 18 19 16 2 13 23 12 20 22 7 9 6 4 14 3 17 15 5
13;558;87,75211;24 21 10 8 1 11 18 19 16 2 13 23 12 20 22 7 9 6 4 14 3 17 15 5
14;541;86,87459;24 21 10 8 1 11 18 19 16 5 13 23 12 20 22 7 9 6 4 14 3 17 15 2
15;538;86,00584;24 21 10 8 1 11 18 19 16 5 13 23 12 20 22 7 9 6 4 14 3 2 15 17
16;502;85,14579;24 21 10 8 1 11 22 19 16 5 13 23 12 20 18 7 9 6 4 14 3 2 15 17
