Iteration,Cost,Temperature,Sequence
0,27,200,3 1 2
1,21,199.9,1 3 2
2,26,199.8,1 2 3
3,22,199.7,2 1 3
4,17,199.6,2 3 1
5,27,199.5,3 2 1
6,17,199.4,2 3 1
7,22,199.3,2 1 3
8,26,199.2,1 2 3
9,22,199.0999,2 1 3
10,27,198.9999,3 1 2
11,27,198.8999,3 2 1
12,27,198.7999,3 1 2
13,27,198.6999,3 2 1
14,27,198.5999,3 1 2
15,27,198.4999,3 2 1
16,26,198.3999,1 2 3
17,21,198.2999,1 3 2
18,17,198.1999,2 3 1
19,21,198.0999,1 3 2
20,27,197.9999,3 1 2
21,22,197.8999,2 1 3
22,27,197.7999,3 1 2
23,27,197.6999,3 2 1
24,17,197.5999,2 3 1
25,21,197.4998,1 3 2
26,17,197.3998,2 3 1
27,21,197.2998,1 3 2
28,26,197.1998,1 2 3
29,27,197.0998,3 2 1
30,26,196.9998,1 2 3
31,27,196.8998,3 2 1
32,26,196.7998,1 2 3
33,21,196.6998,1 3 2
34,26,196.5998,1 2 3
35,22,196.4998,2 1 3
36,27,196.3998,3 1 2
37,21,196.2998,1 3 2
38,26,196.1998,1 2 3
39,22,196.0998,2 1 3
40,17,195.9998,2 3 1
41,21,195.8997,1 3 2
42,17,195.7997,2 3 1
43,27,195.6997,3 2 1
44,26,195.5997,1 2 3
45,27,195.4997,3 2 1
46,26,195.3997,1 2 3
47,21,195.2997,1 3 2
48,27,195.1997,3 1 2
49,21,195.0997,1 3 2
50,26,194.9997,1 2 3
51,27,194.8997,3 2 1
52,27,194.7997,3 1 2
53,21,194.6997,1 3 2
54,27,194.5997,3 1 2
55,22,194.4997,2 1 3
56,27,194.3997,3 1 2
57,21,194.2997,1 3 2
58,26,194.1996,1 2 3
59,22,194.0996,2 1 3
60,17,193.9996,2 3 1
61,21,193.8996,1 3 2
62,26,193.7996,1 2 3
63,21,193.6996,1 3 2
64,17,193.5996,2 3 1
65,21,193.4996,1 3 2
66,17,193.3996,2 3 1
67,21,193.2996,1 3 2
68,26,193.1996,1 2 3
69,22,193.0996,2 1 3
70,17,192.9996,2 3 1
71,21,192.8996,1 3 2
72,17,192.7996,2 3 1
73,27,192.6996,3 2 1
74,26,192.5995,1 2 3
75,27,192.4995,3 2 1
76,17,192.3995,2 3 1
77,22,192.2995,2 1 3
78,17,192.1995,2 3 1
79,22,192.0995,2 1 3
80,26,191.9995,1 2 3
81,21,191.8995,1 3 2
82,26,191.7995,1 2 3
83,21,191.6995,1 3 2
84,17,191.5995,2 3 1
85,21,191.4995,1 3 2
86,26,191.3995,1 2 3
87,21,191.2995,1 3 2
88,17,191.1995,2 3 1
89,27,191.0995,3 2 1
