Iteration,Cost,Temperature,Sequence
0,21,20,1 3 2
1,17,19.99,2 3 1
2,27,19.98,3 2 1
3,17,19.97,2 3 1
4,17,19.96,2 3 1
5,17,19.95,2 3 1
6,27,19.94,3 2 1
7,26,19.93,1 2 3
8,22,19.92,2 1 3
9,22,19.91,2 1 3
10,22,19.9,2 1 3
11,22,19.89,2 1 3
12,26,19.88,1 2 3
13,27,19.87,3 2 1
14,27,19.86,3 1 2
15,22,19.85,2 1 3
16,27,19.84,3 1 2
17,22,19.83,2 1 3
18,17,19.82,2 3 1
19,27,19.81,3 2 1
20,27,19.8,3 1 2
21,27,19.79,3 2 1
22,26,19.77999,1 2 3
23,21,19.76999,1 3 2
24,17,19.75999,2 3 1
25,21,19.74999,1 3 2
26,26,19.73999,1 2 3
27,21,19.72999,1 3 2
28,26,19.71999,1 2 3
29,22,19.70999,2 1 3
30,27,19.69999,3 1 2
31,21,19.68999,1 3 2
32,17,19.67999,2 3 1
33,21,19.66999,1 3 2
34,21,19.65999,1 3 2
35,17,19.64999,2 3 1
36,17,19.63999,2 3 1
37,27,19.62999,3 2 1
38,26,19.61999,1 2 3
39,21,19.60999,1 3 2
40,27,19.59999,3 1 2
41,22,19.58999,2 1 3
42,26,19.57999,1 2 3
43,21,19.56999,1 3 2
44,26,19.55999,1 2 3
45,27,19.54999,3 2 1
46,27,19.53999,3 1 2
47,21,19.52999,1 3 2
48,17,19.51999,2 3 1
49,22,19.50999,2 1 3
50,22,19.49999,2 1 3
51,26,19.48999,1 2 3
52,21,19.47999,1 3 2
53,26,19.46999,1 2 3
54,22,19.45999,2 1 3
55,22,19.44999,2 1 3
56,27,19.43999,3 1 2
57,21,19.42999,1 3 2
58,21,19.41999,1 3 2
59,26,19.40999,1 2 3
60,21,19.39999,1 3 2
61,21,19.38999,1 3 2
62,27,19.37999,3 1 2
63,27,19.36999,3 2 1
64,17,19.35999,2 3 1
65,17,19.34999,2 3 1
66,21,19.33998,1 3 2
67,17,19.32998,2 3 1
68,21,19.31998,1 3 2
69,17,19.30998,2 3 1
70,17,19.29998,2 3 1
71,17,19.28998,2 3 1
72,27,19.27998,3 2 1
73,27,19.26998,3 1 2
74,21,19.25998,1 3 2
75,17,19.24998,2 3 1
76,22,19.23998,2 1 3
77,27,19.22998,3 1 2
78,27,19.21998,3 2 1
79,27,19.20998,3 1 2
80,27,19.19998,3 2 1
81,27,19.18998,3 1 2
82,22,19.17998,2 1 3
83,17,19.16998,2 3 1
84,21,19.15998,1 3 2
85,26,19.14998,1 2 3
86,22,19.13998,2 1 3
87,27,19.12998,3 1 2
88,27,19.11998,3 2 1
89,27,19.10998,3 1 2
90,21,19.09998,1 3 2
91,17,19.08998,2 3 1
92,17,19.07998,2 3 1
93,21,19.06998,1 3 2
