Iteration,Cost,Temperature,Sequence
0,52,10,3 5 2 4 6 1
1,48,9.99,1 5 2 4 6 3
2,54,9.98,2 5 1 4 6 3
3,52,9.969999,2 5 6 4 1 3
4,52,9.959999,2 5 6 4 1 3
5,54,9.949999,2 5 1 4 6 3
6,50,9.939999,2 5 4 1 6 3
7,50,9.929998,5 2 4 1 6 3
8,50,9.919998,2 5 4 1 6 3
9,36,9.909998,2 1 4 5 6 3
10,36,9.899998,2 1 4 5 6 3
11,36,9.889997,2 1 4 5 6 3
12,37,9.879997,2 1 4 5 3 6
13,39,9.869997,2 4 1 5 3 6
14,39,9.859997,2 4 1 5 3 6
15,37,9.849997,2 1 4 5 3 6
16,37,9.839996,2 1 4 5 3 6
17,36,9.829996,2 1 4 5 6 3
18,58,9.819996,6 1 4 5 2 3
19,58,9.809996,6 1 4 5 2 3
20,54,9.799995,6 2 4 5 1 3
21,54,9.789995,6 2 4 5 1 3
22,46,9.779995,6 2 4 1 5 3
23,44,9.769995,6 2 1 4 5 3
24,46,9.759995,6 5 1 4 2 3
25,46,9.749994,6 5 1 4 2 3
26,30,9.739994,6 5 3 4 2 1
27,30,9.729994,6 5 3 4 2 1
28,30,9.719994,6 5 3 4 2 1
29,34,9.709993,5 6 3 4 2 1
30,46,9.699993,5 4 3 6 2 1
31,36,9.689993,2 4 3 6 5 1
32,36,9.679993,2 4 3 6 5 1
33,48,9.669992,2 3 4 6 5 1
34,47,9.659992,2 3 1 6 5 4
35,37,9.649992,2 1 3 6 5 4
36,37,9.639992,2 1 3 6 5 4
37,47,9.629992,2 3 1 6 5 4
38,47,9.619991,1 3 2 6 5 4
39,51,9.609991,5 3 2 6 1 4
40,54,9.599991,5 4 2 6 1 3
41,52,9.589991,5 1 2 6 4 3
42,52,9.57999,5 1 2 6 4 3
43,53,9.56999,5 1 2 3 4 6
44,49,9.55999,5 3 2 1 4 6
45,49,9.54999,5 3 2 1 4 6
46,45,9.539989,4 3 2 1 5 6
47,43,9.529989,4 3 2 1 6 5
48,49,9.519989,4 3 5 1 6 2
49,49,9.509989,4 3 5 1 6 2
50,52,9.499989,4 2 5 1 6 3
51,50,9.489988,4 2 5 6 1 3
52,51,9.479988,4 2 5 3 1 6
53,41,9.469988,1 2 5 3 4 6
54,41,9.459988,1 2 5 3 4 6
55,55,9.449987,5 2 1 3 4 6
56,61,9.439987,5 4 1 3 2 6
57,58,9.429987,5 4 1 6 2 3
58,46,9.419987,5 4 3 6 2 1
59,43,9.409986,5 4 3 6 1 2
60,39,9.399986,1 4 3 6 5 2
61,34,9.389986,1 4 2 6 5 3
62,35,9.379986,1 4 2 3 5 6
63,35,9.369986,1 4 2 3 5 6
64,35,9.359985,1 4 2 3 5 6
65,41,9.349985,4 1 2 3 5 6
66,49,9.339985,4 1 6 3 5 2
67,49,9.329985,4 1 6 3 5 2
68,45,9.319984,1 4 6 3 5 2
69,39,9.309984,1 4 3 6 5 2
70,39,9.299984,1 5 3 6 4 2
71,39,9.289984,1 5 3 6 4 2
72,39,9.279984,1 4 3 6 5 2
73,39,9.269983,1 5 3 6 4 2
74,39,9.259983,1 4 3 6 5 2
75,41,9.249983,1 4 5 6 3 2
76,49,9.239983,4 1 5 6 3 2
77,57,9.229982,4 6 5 1 3 2
78,49,9.219982,4 1 5 6 3 2
79,49,9.209982,4 1 5 6 3 2
80,49,9.199982,4 1 5 6 3 2
81,48,9.189981,4 2 5 6 3 1
82,46,9.179981,4 2 3 6 5 1
83,46,9.169981,4 2 3 6 5 1
84,46,9.159981,4 2 6 3 5 1
85,46,9.149981,4 2 5 3 6 1
86,38,9.13998,2 4 5 3 6 1
87,39,9.12998,2 4 1 3 6 5
88,38,9.11998,2 4 5 3 6 1
89,38,9.10998,2 4 5 3 6 1
90,48,9.099979,2 5 4 3 6 1
91,33,9.089979,2 1 4 3 6 5
92,33,9.079979,2 1 4 3 6 5
93,33,9.069979,2 1 4 3 6 5
94,36,9.059978,2 1 4 5 6 3
95,36,9.049978,2 1 4 5 6 3
96,37,9.039978,2 1 4 5 3 6
97,39,9.029978,2 4 1 5 3 6
98,47,9.019978,2 4 5 1 3 6
99,53,9.009977,2 5 4 1 3 6
100,45,8.999977,2 3 4 1 5 6
101,45,8.989977,2 3 4 1 5 6
102,45,8.979977,4 3 2 1 5 6
103,45,8.969976,4 3 2 1 5 6
104,45,8.959976,4 3 5 1 2 6
105,38,8.949976,4 3 5 6 2 1
106,38,8.939976,4 3 5 6 2 1
107,38,8.929976,4 3 5 6 2 1
108,38,8.919975,4 3 5 6 2 1
109,38,8.909975,4 3 5 6 2 1
110,38,8.899975,4 3 5 6 2 1
111,38,8.889975,4 3 5 6 2 1
112,38,8.879974,4 3 5 6 2 1
113,38,8.869974,4 3 5 6 2 1
114,44,8.859974,4 6 5 3 2 1
115,44,8.849974,4 6 5 3 2 1
116,38,8.839973,2 6 5 3 4 1
117,44,8.829973,2 6 3 5 4 1
118,43,8.819973,2 6 3 5 1 4
119,37,8.809973,1 6 3 5 2 4
120,41,8.799973,1 6 3 4 2 5
121,39,8.789972,1 2 3 4 6 5
122,41,8.779972,1 6 3 4 2 5
123,43,8.769972,1 6 3 2 4 5
124,35,8.759972,1 6 3 5 4 2
125,35,8.749971,1 6 3 5 4 2
126,37,8.739971,1 3 6 5 4 2
127,41,8.729971,1 4 6 5 3 2
128,41,8.719971,1 4 6 5 3 2
129,35,8.70997,1 4 3 5 6 2
130,35,8.69997,1 4 3 5 6 2
131,35,8.68997,1 4 3 5 6 2
132,35,8.67997,1 4 3 5 6 2
133,38,8.66997,1 4 2 5 6 3
134,38,8.659969,1 4 2 5 6 3
135,50,8.649969,1 4 5 2 6 3
136,38,8.639969,1 4 2 5 6 3
137,38,8.629969,1 4 2 5 6 3
138,39,8.619968,1 4 2 5 3 6
139,45,8.609968,5 4 2 1 3 6
140,43,8.599968,5 6 2 1 3 4
141,43,8.589968,6 5 2 1 3 4
142,43,8.579967,6 5 2 1 3 4
143,43,8.569967,6 5 2 1 3 4
144,47,8.559967,6 3 2 1 5 4
145,35,8.549967,6 3 5 1 2 4
146,36,8.539967,6 3 5 4 2 1
147,36,8.529966,6 3 5 4 2 1
148,36,8.519966,6 3 5 4 2 1
149,35,8.509966,6 3 5 1 2 4
150,35,8.499966,6 3 5 1 2 4
151,45,8.489965,6 1 5 3 2 4
152,48,8.479965,6 4 5 3 2 1
153,42,8.469965,6 5 4 3 2 1
154,44,8.459965,6 5 4 1 2 3
155,33,8.449965,6 5 3 1 2 4
156,33,8.439964,6 5 3 1 2 4
157,43,8.429964,6 5 2 1 3 4
158,33,8.419964,6 5 3 1 2 4
159,33,8.409964,6 5 3 1 2 4
160,33,8.399963,6 5 3 1 2 4
161,33,8.389963,3 5 6 1 2 4
162,33,8.379963,3 5 6 1 2 4
163,33,8.369963,3 5 6 1 2 4
164,35,8.359962,5 3 6 1 2 4
165,47,8.349962,5 3 2 1 6 4
166,47,8.339962,5 3 2 1 6 4
167,47,8.329962,6 3 2 1 5 4
168,43,8.319962,6 1 2 3 5 4
169,41,8.309961,4 1 2 3 5 6
170,41,8.299961,4 1 2 3 5 6
