Iteration,Cost,Temperature,Sequence
0,43,100,3 1 2 4 5 6
1,49,99,3 5 2 4 1 6
2,61,98,3 2 5 4 1 6
3,41,97,1 2 5 4 3 6
4,55,96,4 2 5 1 3 6
5,49,95,4 2 6 1 3 5
6,48,94,4 2 6 1 5 3
7,42,93,1 2 6 4 5 3
8,46,92,1 2 5 4 6 3
9,46,91,2 1 5 4 6 3
10,46,90,5 1 2 4 6 3
11,59,89,5 1 3 4 6 2
12,55,88,5 3 1 4 6 2
13,49,87,5 3 1 4 2 6
14,46,86,5 6 1 4 2 3
15,52,85,5 2 1 4 6 3
16,53,84,5 2 1 3 6 4
17,39,83,1 2 5 3 6 4
18,53,82,5 2 1 3 6 4
19,45,81,5 2 1 6 3 4
20,57,80,5 2 6 1 3 4
21,53,79,5 2 4 1 3 6
22,50,78,5 2 4 1 6 3
23,50,77,5 1 4 2 6 3
24,51,76,5 1 4 3 6 2
25,33,75,2 1 4 3 6 5
26,49,74,3 1 4 2 6 5
27,51,73,3 1 4 2 5 6
28,61,72,3 1 6 2 5 4
29,59,71,6 1 3 2 5 4
30,57,70,4 1 3 2 5 6
31,54,69,4 1 6 2 5 3
32,40,68,4 1 2 6 5 3
33,41,67,4 1 2 3 5 6
34,40,66,4 1 2 6 5 3
35,51,65,4 1 3 6 5 2
36,46,64,4 2 3 6 5 1
37,46,63,4 2 3 6 5 1
38,36,62,2 4 3 6 5 1
39,36,61,2 4 3 6 5 1
40,42,60,2 4 6 3 5 1
41,48,59,2 6 4 3 5 1
42,46,58,5 6 4 3 2 1
43,47,57,5 6 1 3 2 4
44,47,56,6 5 1 3 2 4
45,63,55,4 5 1 3 2 6
46,60,54,4 5 1 6 2 3
47,58,53,5 4 1 6 2 3
48,62,52,6 4 1 5 2 3
49,46,51,6 4 3 5 2 1
50,46,50,6 4 3 5 2 1
51,60,49,6 4 3 2 5 1
52,62,48,4 6 3 2 5 1
53,56,47,3 6 4 2 5 1
54,49,46,3 6 1 2 5 4
55,49,45,3 5 1 2 6 4
56,49,44,1 5 3 2 6 4
57,45,43,1 5 3 2 4 6
58,45,42,1 4 3 2 5 6
59,45,41,1 4 3 5 2 6
60,57,40,4 1 3 5 2 6
61,63,39,3 1 4 5 2 6
62,57,38,4 1 3 5 2 6
63,57,37,4 1 3 2 5 6
64,62,36,4 6 3 2 5 1
65,44,35,5 6 3 2 4 1
66,59,34,5 1 3 2 4 6
67,65,33,5 2 3 1 4 6
68,49,32,5 3 2 1 4 6
69,43,31,5 3 4 1 2 6
70,49,30,5 3 1 4 2 6
71,47,29,5 3 1 6 2 4
72,46,28,5 3 4 6 2 1
73,46,27,5 3 4 6 2 1
74,62,26,5 1 4 6 2 3
75,36,25,2 1 4 6 5 3
76,36,24,2 1 4 6 5 3
77,46,23,6 1 4 2 5 3
78,46,22,6 1 4 2 5 3
79,46,21,6 1 4 2 5 3
80,38,20,6 1 2 4 5 3
81,38,19,6 1 2 4 5 3
82,43,18,3 1 2 4 5 6
83,41,17,5 1 2 4 3 6
84,53,16,5 1 3 4 2 6
85,57,15,5 2 3 4 1 6
86,37,14,5 6 3 4 1 2
87,37,13,5 6 3 4 1 2
88,34,12,5 6 3 4 2 1
89,60,11,5 2 3 4 6 1
90,62,10,5 2 6 4 3 1
91,57,9,5 1 6 4 3 2
92,39,8,2 1 6 4 3 5
93,29,7,2 1 6 5 3 4
94,29,6,2 1 6 5 3 4
95,29,5,2 1 6 5 3 4
96,29,4,2 1 6 5 3 4
97,29,3,1 2 6 5 3 4
98,29,2,1 2 6 5 3 4
99,33,1,1 2 5 6 3 4
