Iteration,Cost,Temperature,Sequence
0,68,10,10 3 5 2 7 12 8 11 4 6 1 9
1,74,9.99,10 3 1 2 7 12 8 11 4 6 5 9
2,74,9.98,10 3 1 2 7 12 8 11 4 6 5 9
3,78,9.969999,10 3 1 4 7 12 8 11 2 6 5 9
4,76,9.959999,1 3 10 4 7 12 8 11 2 6 5 9
5,86,9.949999,11 3 10 4 7 12 8 1 2 6 5 9
6,86,9.939999,11 6 10 4 7 12 8 1 2 3 5 9
7,90,9.929998,11 6 10 4 7 8 12 1 2 3 5 9
8,86,9.919998,11 6 10 4 7 12 8 1 2 3 5 9
9,86,9.909998,11 6 10 4 12 7 8 1 2 3 5 9
10,88,9.899998,11 10 6 4 12 7 8 1 2 3 5 9
11,86,9.889997,5 10 6 4 12 7 8 1 2 3 11 9
12,79,9.879997,5 10 6 4 12 7 8 1 9 3 11 2
13,83,9.869997,5 1 6 4 12 7 8 10 9 3 11 2
14,71,9.859997,5 1 6 4 12 8 7 10 9 3 11 2
15,67,9.849997,5 1 6 4 8 12 7 10 9 3 11 2
16,83,9.839996,5 1 6 4 7 12 8 10 9 3 11 2
17,83,9.829996,5 1 6 4 7 8 12 10 9 3 11 2
18,81,9.819996,5 1 6 11 7 8 12 10 9 3 4 2
19,81,9.809996,5 1 6 11 7 8 12 9 10 3 4 2
20,73,9.799995,5 1 6 9 7 8 12 11 10 3 4 2
21,73,9.789995,5 1 6 9 7 8 12 11 10 3 4 2
22,71,9.779995,5 7 6 9 1 8 12 11 10 3 4 2
23,71,9.769995,5 7 6 9 1 8 12 11 10 3 4 2
24,71,9.759995,5 7 6 9 1 8 12 11 10 3 4 2
25,71,9.749994,5 7 6 9 10 8 12 11 1 3 4 2
26,71,9.739994,5 7 6 9 1 8 12 11 10 3 4 2
27,71,9.729994,5 7 6 9 1 8 12 11 10 3 4 2
28,71,9.719994,7 5 6 9 1 8 12 11 10 3 4 2
29,63,9.709993,7 5 6 9 1 8 12 3 10 11 4 2
30,63,9.699993,7 5 6 9 1 8 12 3 10 11 4 2
31,65,9.689993,7 3 6 9 1 8 12 5 10 11 4 2
32,65,9.679993,7 3 6 9 1 8 12 5 10 11 4 2
33,67,9.669992,7 3 6 9 1 8 12 10 5 11 4 2
34,67,9.659992,7 3 6 9 1 8 12 10 5 11 4 2
35,67,9.649992,7 3 6 9 1 8 12 10 5 11 4 2
36,75,9.639992,7 3 10 9 1 8 12 6 5 11 4 2
37,79,9.629992,7 3 12 9 1 8 10 6 5 11 4 2
38,81,9.619991,7 3 12 9 6 8 10 1 5 11 4 2
39,81,9.609991,7 3 12 9 6 8 10 1 5 11 4 2
40,89,9.599991,7 6 12 9 3 8 10 1 5 11 4 2
41,83,9.589991,7 6 12 9 3 8 11 1 5 10 4 2
42,83,9.57999,7 6 12 9 3 8 11 1 5 10 4 2
43,83,9.56999,7 6 12 9 3 8 11 1 5 10 4 2
44,87,9.55999,7 6 12 9 11 8 3 1 5 10 4 2
45,90,9.54999,7 6 12 9 11 2 3 1 5 10 4 8
46,90,9.539989,7 6 12 9 11 2 3 1 5 10 4 8
47,76,9.529989,7 6 10 9 11 2 3 1 5 12 4 8
48,76,9.519989,7 1 10 9 11 2 3 6 5 12 4 8
49,76,9.509989,7 1 10 9 11 2 3 6 5 12 4 8
50,76,9.499989,7 1 10 9 11 2 3 6 5 12 4 8
51,76,9.489988,7 1 10 9 11 2 3 6 5 12 4 8
52,74,9.479988,7 1 10 9 3 2 11 6 5 12 4 8
53,74,9.469988,10 1 7 9 3 2 11 6 5 12 4 8
54,70,9.459988,2 1 7 9 3 10 11 6 5 12 4 8
55,64,9.449987,2 1 7 5 3 10 11 6 9 12 4 8
56,64,9.439987,2 1 7 5 3 10 11 6 9 12 4 8
57,58,9.429987,2 1 7 5 3 12 11 6 9 10 4 8
58,60,9.419987,2 1 7 5 3 8 11 6 9 10 4 12
59,58,9.409986,2 1 7 5 3 12 11 6 9 10 4 8
60,62,9.399986,2 1 7 5 4 12 11 6 9 10 3 8
61,62,9.389986,2 1 7 5 4 12 11 6 9 10 3 8
62,70,9.379986,2 1 7 12 4 5 11 6 9 10 3 8
63,70,9.369986,2 1 7 12 4 5 11 6 9 10 3 8
64,70,9.359985,2 1 8 12 4 5 11 6 9 10 3 7
65,70,9.349985,2 1 11 12 4 5 8 6 9 10 3 7
66,86,9.339985,2 10 11 12 4 5 8 6 9 1 3 7
67,86,9.329985,2 10 11 12 4 5 8 6 9 1 3 7
68,87,9.319984,2 10 11 12 4 7 8 6 9 1 3 5
69,83,9.309984,6 10 11 12 4 7 8 2 9 1 3 5
70,83,9.299984,6 10 11 12 4 7 8 2 9 1 3 5
71,85,9.289984,3 10 11 12 4 7 8 2 9 1 6 5
72,81,9.279984,3 10 11 12 8 7 4 2 9 1 6 5
