Iteration,Cost,Temperature,Sequence
0,89,300,12 10 1 11 9 2 6 4 3 7 8 5
1,77,299.99,12 10 1 11 4 2 6 9 3 7 8 5
2,63,299.98,12 8 1 11 4 2 6 9 3 7 10 5
3,85,299.97,12 8 1 7 4 2 6 9 3 11 10 5
4,85,299.96,12 3 1 7 4 2 6 9 8 11 10 5
5,85,299.95,12 3 1 7 4 9 6 2 8 11 10 5
6,89,299.9399,12 3 1 8 4 9 6 2 7 11 10 5
7,89,299.9299,12 3 1 8 10 9 6 2 7 11 4 5
8,87,299.9199,12 3 1 8 11 9 6 2 7 10 4 5
9,77,299.9099,12 3 1 8 11 9 6 2 7 10 5 4
10,83,299.8999,8 3 1 12 11 9 6 2 7 10 5 4
11,84,299.8899,8 3 1 12 11 9 6 2 4 10 5 7
12,86,299.8799,8 3 1 12 6 9 11 2 4 10 5 7
13,84,299.8699,2 3 1 12 6 9 11 8 4 10 5 7
14,86,299.8599,2 3 1 8 6 9 11 12 4 10 5 7
15,78,299.8499,2 3 1 11 6 9 8 12 4 10 5 7
16,74,299.8398,2 3 1 11 6 9 8 4 12 10 5 7
17,78,299.8298,2 3 7 11 6 9 8 4 12 10 5 1
18,88,299.8198,4 3 7 11 6 9 8 2 12 10 5 1
19,96,299.8098,4 3 7 11 6 8 9 2 12 10 5 1
20,101,299.7998,4 3 7 11 6 8 9 2 12 1 5 10
21,91,299.7898,4 3 1 11 6 8 9 2 12 7 5 10
22,83,299.7798,4 3 1 11 6 9 8 2 12 7 5 10
23,82,299.7698,4 3 1 11 6 9 8 2 10 7 5 12
24,80,299.7598,4 3 9 11 6 1 8 2 10 7 5 12
25,66,299.7498,9 3 4 11 6 1 8 2 10 7 5 12
26,66,299.7397,9 3 4 11 6 1 8 2 10 7 5 12
27,72,299.7297,9 3 4 11 6 1 5 2 10 7 8 12
28,82,299.7197,9 3 4 8 6 1 5 2 10 7 11 12
29,100,299.7097,9 3 1 8 6 4 5 2 10 7 11 12
30,84,299.6997,9 3 1 8 6 4 5 7 10 2 11 12
31,82,299.6897,9 3 6 8 1 4 5 7 10 2 11 12
32,88,299.6797,12 3 6 8 1 4 5 7 10 2 11 9
33,98,299.6697,12 11 6 8 1 4 5 7 10 2 3 9
34,100,299.6597,12 10 6 8 1 4 5 7 11 2 3 9
35,97,299.6497,12 10 6 8 1 4 9 7 11 2 3 5
36,105,299.6396,12 10 6 8 1 4 9 7 11 5 3 2
37,95,299.6296,12 10 11 8 1 4 9 7 6 5 3 2
38,89,299.6196,12 10 11 9 1 4 8 7 6 5 3 2
39,85,299.6096,3 10 11 9 1 4 8 7 6 5 12 2
40,85,299.5996,3 10 11 9 12 4 8 7 6 5 1 2
