Iteration,Cost,Temperature,Sequence
0,121,300,3 5 2 7 8 4 6 1 9
1,125,299.9,2 5 3 7 8 4 6 1 9
2,131,299.8,2 5 3 7 9 4 6 1 8
3,115,299.7,2 5 8 7 9 4 6 1 3
4,115,299.6,2 5 8 7 4 9 6 1 3
5,101,299.5,6 5 8 7 4 9 2 1 3
6,117,299.4,8 5 6 7 4 9 2 1 3
7,125,299.3,8 5 6 4 7 9 2 1 3
8,119,299.2,8 6 5 4 7 9 2 1 3
9,119,299.0999,8 6 4 5 7 9 2 1 3
10,125,298.9999,8 6 4 5 7 3 2 1 9
11,135,298.8999,8 6 4 5 1 3 2 7 9
12,125,298.7999,8 7 4 5 1 3 2 6 9
13,117,298.6999,8 9 4 5 1 3 2 6 7
14,107,298.5999,6 9 4 5 1 3 2 8 7
15,120,298.4999,6 9 4 5 7 3 2 8 1
16,100,298.3999,6 9 4 5 7 8 2 3 1
17,93,298.2999,1 9 4 5 7 8 2 3 6
18,95,298.1999,1 3 4 5 7 8 2 9 6
19,95,298.0999,1 3 4 8 7 5 2 9 6
20,93,297.9999,1 3 5 8 7 4 2 9 6
21,107,297.8999,2 3 5 8 7 4 1 9 6
22,107,297.7999,2 3 5 8 7 9 1 4 6
23,111,297.6999,2 1 5 8 7 9 3 4 6
24,107,297.5999,2 1 5 6 7 9 3 4 8
25,105,297.4998,2 1 5 6 4 9 3 7 8
26,112,297.3998,2 1 5 6 8 9 3 7 4
27,105,297.2998,2 1 5 6 8 9 4 7 3
28,107,297.1998,2 1 5 6 9 8 4 7 3
29,111,297.0998,2 4 5 6 9 8 1 7 3
30,105,296.9998,2 4 5 7 9 8 1 6 3
31,93,296.8998,1 4 5 7 9 8 2 6 3
32,99,296.7998,1 4 5 6 9 8 2 7 3
33,121,296.6998,1 9 5 6 4 8 2 7 3
34,127,296.5998,1 9 5 6 4 7 2 8 3
35,127,296.4998,1 8 5 6 4 7 2 9 3
36,111,296.3998,1 8 5 6 4 3 2 9 7
37,127,296.2998,1 8 5 6 4 7 2 9 3
38,107,296.1998,1 8 5 6 9 7 2 4 3
39,113,296.0998,1 8 3 6 9 7 2 4 5
40,117,295.9998,1 8 3 9 6 7 2 4 5
41,137,295.8997,1 8 3 9 6 2 7 4 5
42,135,295.7997,1 8 3 9 5 2 7 4 6
43,131,295.6997,1 8 3 5 9 2 7 4 6
44,115,295.5997,1 8 3 5 4 2 7 9 6
45,113,295.4997,1 8 3 5 4 2 6 9 7
46,101,295.3997,1 8 6 5 4 2 3 9 7
47,91,295.2997,1 9 6 5 4 2 3 8 7
48,120,295.1997,7 9 6 5 4 2 3 8 1
49,118,295.0997,7 9 6 3 4 2 5 8 1
50,138,294.9997,7 4 6 3 9 2 5 8 1
51,138,294.8997,7 4 6 3 9 5 2 8 1
52,138,294.7997,6 4 7 3 9 5 2 8 1
53,144,294.6997,6 4 8 3 9 5 2 7 1
54,138,294.5997,6 4 8 3 9 2 5 7 1
55,112,294.4997,6 9 8 3 4 2 5 7 1
56,122,294.3997,6 5 8 3 4 2 9 7 1
57,104,294.2997,6 5 8 7 4 2 9 3 1
58,106,294.1996,6 5 8 7 4 2 3 9 1
59,107,294.0996,6 5 8 7 4 1 3 9 2
60,111,293.9996,6 5 8 7 4 3 1 9 2
61,107,293.8996,6 5 8 7 4 9 1 3 2
62,125,293.7996,9 5 8 7 4 6 1 3 2
63,147,293.6996,9 5 2 7 4 6 1 3 8
64,141,293.5996,9 8 2 7 4 6 1 3 5
65,143,293.4996,9 1 2 7 4 6 8 3 5
66,131,293.3996,9 1 2 7 4 8 6 3 5
67,125,293.2996,9 1 8 7 4 2 6 3 5
68,125,293.1996,9 1 8 7 2 4 6 3 5
69,135,293.0996,9 1 4 7 2 8 6 3 5
70,133,292.9996,5 1 4 7 2 8 6 3 9
71,117,292.8996,5 1 4 3 2 8 6 7 9
72,101,292.7996,5 1 4 3 2 9 6 7 8
73,103,292.6996,9 1 4 3 2 5 6 7 8
74,99,292.5995,9 1 2 3 4 5 6 7 8
75,95,292.4995,9 3 2 1 4 5 6 7 8
76,121,292.3995,9 3 6 1 4 5 2 7 8
77,121,292.2995,9 3 6 7 4 5 2 1 8
78,125,292.1995,9 3 6 7 2 5 4 1 8
79,127,292.0995,9 2 6 7 3 5 4 1 8
80,127,291.9995,9 2 6 1 3 5 4 7 8
81,127,291.8995,5 2 6 1 3 9 4 7 8
82,137,291.7995,5 2 7 1 3 9 4 6 8
83,129,291.6995,5 2 1 7 3 9 4 6 8
84,149,291.5995,5 8 1 7 3 9 4 6 2
85,129,291.4995,5 2 1 7 3 9 4 6 8
86,127,291.3995,5 2 1 7 9 3 4 6 8
87,109,291.2995,4 2 1 7 9 3 5 6 8
88,127,291.1995,5 2 1 7 9 3 4 6 8
89,135,291.0995,5 9 1 7 2 3 4 6 8
90,125,290.9995,5 9 1 6 2 3 4 7 8
91,147,290.8994,5 9 1 6 2 8 4 7 3
92,125,290.7994,5 9 1 6 2 3 4 7 8
93,119,290.6994,3 9 1 6 2 5 4 7 8
94,93,290.5994,3 9 5 6 2 1 4 7 8
95,111,290.4994,9 3 5 6 2 1 4 7 8
96,121,290.3994,9 3 5 7 2 1 4 6 8
97,111,290.2994,9 4 5 7 2 1 3 6 8
98,113,290.1994,9 4 5 7 1 2 3 6 8
99,123,290.0994,9 4 3 7 1 2 5 6 8
100,123,289.9994,7 4 3 9 1 2 5 6 8
101,141,289.8994,7 4 3 9 1 6 5 2 8
102,137,289.7994,7 2 3 9 1 6 5 4 8
103,144,289.6994,7 2 3 9 1 6 5 8 4
104,124,289.5994,3 2 7 9 1 6 5 8 4
105,97,289.4994,3 2 4 9 1 6 5 8 7
106,95,289.3994,3 1 4 9 2 6 5 8 7
107,109,289.2993,3 1 8 9 2 6 5 4 7
108,109,289.1993,3 1 8 9 2 5 6 4 7
