Iteration,Cost,Temperature,Sequence
0,119,300,1 7 6 4 8 5 3 9 2
1,119,299.9,1 8 6 4 7 5 3 9 2
2,95,299.8,1 4 6 8 7 5 3 9 2
3,93,299.7,1 4 6 3 7 5 8 9 2
4,99,299.6,1 4 6 3 9 5 8 7 2
5,113,299.5,1 4 6 3 9 5 8 2 7
6,126,299.4,7 4 6 3 9 5 8 2 1
7,130,299.3,7 2 6 3 9 5 8 4 1
8,118,299.2,7 2 3 6 9 5 8 4 1
9,102,299.0999,3 2 7 6 9 5 8 4 1
10,120,298.9999,3 2 7 4 9 5 8 6 1
11,134,298.8999,6 2 7 4 9 5 8 3 1
12,134,298.7999,6 4 7 2 9 5 8 3 1
13,130,298.6999,6 4 7 9 2 5 8 3 1
14,132,298.5999,6 4 7 9 2 3 8 5 1
15,141,298.4999,6 4 7 9 2 3 8 1 5
16,143,298.3999,5 4 7 9 2 3 8 1 6
17,139,298.2999,5 4 7 6 2 3 8 1 9
18,143,298.1999,5 4 7 9 2 3 8 1 6
19,109,298.0999,1 4 7 9 2 3 8 5 6
20,99,297.9999,1 4 7 5 2 3 8 9 6
21,95,297.8999,1 4 7 5 3 2 8 9 6
22,107,297.7999,1 4 7 5 3 9 8 2 6
23,101,297.6999,1 4 9 5 3 7 8 2 6
24,113,297.5999,2 4 9 5 3 7 8 1 6
25,125,297.4998,9 4 2 5 3 7 8 1 6
26,105,297.3998,9 4 2 5 6 7 8 1 3
27,95,297.2998,3 4 2 5 6 7 8 1 9
28,115,297.1998,3 4 6 5 2 7 8 1 9
29,121,297.0998,3 8 6 5 2 7 4 1 9
30,127,296.9998,3 8 5 6 2 7 4 1 9
31,121,296.8998,3 8 5 2 6 7 4 1 9
32,141,296.7998,3 8 5 2 6 4 7 1 9
33,135,296.6998,3 8 2 5 6 4 7 1 9
34,123,296.5998,3 8 2 5 6 4 1 7 9
35,124,296.4998,3 8 2 5 6 4 9 7 1
36,104,296.3998,3 8 2 5 6 7 9 4 1
37,108,296.2998,5 8 2 3 6 7 9 4 1
38,110,296.1998,5 6 2 3 8 7 9 4 1
39,120,296.0998,5 6 8 3 2 7 9 4 1
40,118,295.9998,5 6 8 4 2 7 9 3 1
41,115,295.8997,5 6 8 4 2 1 9 3 7
42,125,295.7997,4 6 8 5 2 1 9 3 7
43,119,295.6997,4 8 6 5 2 1 9 3 7
44,125,295.5997,4 6 8 5 2 1 9 3 7
45,117,295.4997,4 6 8 5 2 1 3 9 7
46,125,295.3997,8 6 4 5 2 1 3 9 7
47,129,295.2997,8 6 2 5 4 1 3 9 7
48,129,295.1997,1 6 2 5 4 8 3 9 7
49,129,295.0997,1 6 2 5 4 8 3 7 9
50,123,294.9997,1 7 2 5 4 8 3 6 9
51,139,294.8997,4 7 2 5 1 8 3 6 9
52,133,294.7997,7 4 2 5 1 8 3 6 9
53,125,294.6997,7 4 2 5 1 9 3 6 8
54,121,294.5997,7 1 2 5 4 9 3 6 8
55,131,294.4997,7 1 3 5 4 9 2 6 8
56,117,294.3997,7 5 3 1 4 9 2 6 8
57,129,294.2997,9 5 3 1 4 7 2 6 8
58,117,294.1996,3 5 9 1 4 7 2 6 8
59,117,294.0996,3 5 9 1 4 7 2 6 8
60,117,293.9996,3 5 9 4 1 7 2 6 8
61,111,293.8996,3 5 9 4 1 8 2 6 7
62,113,293.7996,3 5 9 4 1 8 2 7 6
63,109,293.6996,3 5 9 4 8 1 2 7 6
64,91,293.5996,3 5 9 8 4 1 2 7 6
65,87,293.4996,3 5 7 8 4 1 2 9 6
66,93,293.3996,3 5 8 7 4 1 2 9 6
67,98,293.2996,3 5 8 7 6 1 2 9 4
68,112,293.1996,3 8 5 7 6 1 2 9 4
69,102,293.0996,1 8 5 7 6 3 2 9 4
70,92,292.9996,1 8 7 5 6 3 2 9 4
71,91,292.8996,1 8 7 5 6 3 4 9 2
72,123,292.7996,5 8 7 1 6 3 4 9 2
73,121,292.6996,5 8 2 1 6 3 4 9 7
74,119,292.5995,5 8 2 4 6 3 1 9 7
75,125,292.4995,5 8 2 4 6 9 1 3 7
76,120,292.3995,5 8 2 4 6 9 7 3 1
77,124,292.2995,8 5 2 4 6 9 7 3 1
78,140,292.1995,8 5 9 4 6 2 7 3 1
79,136,292.0995,8 5 9 3 6 2 7 4 1
80,106,291.9995,3 5 9 8 6 2 7 4 1
81,102,291.8995,2 5 9 8 6 3 7 4 1
82,112,291.7995,2 5 9 8 6 4 7 3 1
83,105,291.6995,2 5 9 8 6 4 1 3 7
84,115,291.5995,2 5 9 8 6 4 1 7 3
85,109,291.4995,2 5 7 8 6 4 1 9 3
86,115,291.3995,2 5 9 8 6 4 1 7 3
87,125,291.2995,2 9 5 8 6 4 1 7 3
88,121,291.1995,2 4 5 8 6 9 1 7 3
89,120,291.0995,2 4 5 8 6 9 3 7 1
90,90,290.9995,2 4 5 3 6 9 8 7 1
91,81,290.8994,1 4 5 3 6 9 8 7 2
92,82,290.7994,1 2 5 3 6 9 8 7 4
93,96,290.6994,1 3 5 2 6 9 8 7 4
94,86,290.5994,1 3 2 5 6 9 8 7 4
95,79,290.4994,1 3 2 5 4 9 8 7 6
96,113,290.3994,1 7 2 5 4 9 8 3 6
97,125,290.2994,2 7 1 5 4 9 8 3 6
98,141,290.1994,2 7 1 5 4 9 3 8 6
99,129,290.0994,2 7 1 5 4 6 3 8 9
100,115,289.9994,2 7 5 1 4 6 3 8 9
101,117,289.8994,2 7 6 1 4 5 3 8 9
102,131,289.7994,2 7 6 1 8 5 3 4 9
103,131,289.6994,4 7 6 1 8 5 3 2 9
104,123,289.5994,4 7 5 1 8 6 3 2 9
105,135,289.4994,4 7 5 1 8 6 2 3 9
106,133,289.3994,4 7 3 1 8 6 2 5 9
107,135,289.2993,4 7 9 1 8 6 2 5 3
108,133,289.1993,4 7 3 1 8 6 2 5 9
109,133,289.0993,4 7 3 1 8 2 6 5 9
110,126,288.9993,4 7 3 9 8 2 6 5 1
111,136,288.8993,4 7 3 9 5 2 6 8 1
112,126,288.7993,5 7 3 9 4 2 6 8 1
113,126,288.6993,5 7 3 9 4 2 8 6 1
114,111,288.5993,5 7 3 1 4 2 8 6 9
115,127,288.4993,5 7 3 6 4 2 8 1 9
116,133,288.3993,5 7 4 6 3 2 8 1 9
117,127,288.2993,5 7 3 6 4 2 8 1 9
118,129,288.1993,5 3 7 6 4 2 8 1 9
119,117,288.0993,5 3 1 6 4 2 8 7 9
120,113,287.9993,2 3 1 6 4 5 8 7 9
121,117,287.8993,5 3 1 6 4 2 8 7 9
122,91,287.7993,1 3 5 6 4 2 8 7 9
123,107,287.6992,1 3 5 6 7 2 8 4 9
124,111,287.5992,1 9 5 6 7 2 8 4 3
125,87,287.4992,1 9 5 6 7 8 2 4 3
126,97,287.3992,1 9 5 7 6 8 2 4 3
127,87,287.2992,1 9 5 6 7 8 2 4 3
128,89,287.1992,1 5 9 6 7 8 2 4 3
129,117,287.0992,8 5 9 6 7 1 2 4 3
130,133,286.9992,8 5 9 4 7 1 2 6 3
131,127,286.8992,6 5 9 4 7 1 2 8 3
132,131,286.7992,5 6 9 4 7 1 2 8 3
133,132,286.6992,5 6 9 3 7 1 2 8 4
134,124,286.5992,1 6 9 3 7 5 2 8 4
135,112,286.4992,1 9 6 3 7 5 2 8 4
136,126,286.3992,5 9 6 3 7 1 2 8 4
137,137,286.2992,5 9 6 4 7 1 2 8 3
138,131,286.1992,5 6 9 4 7 1 2 8 3
139,135,286.0992,5 6 9 4 1 7 2 8 3
140,131,285.9991,5 6 9 4 1 7 3 8 2
141,145,285.8991,5 4 9 6 1 7 3 8 2
142,129,285.7991,5 4 9 6 7 1 3 8 2
143,128,285.6991,5 4 9 6 7 2 3 8 1
