Iteration,Cost,Temperature,Sequence
0,205,100,1 4 2 7 10 14 16 12 3 8 13 9 15 17 11 5 6
1,221,99.9,1 4 2 7 10 5 16 12 3 8 13 9 15 17 11 14 6
2,213,99.8,1 4 2 7 10 3 16 12 5 8 13 9 15 17 11 14 6
3,247,99.7,12 4 2 7 10 3 16 1 5 8 13 9 15 17 11 14 6
4,241,99.60001,12 14 2 7 10 3 16 1 5 8 13 9 15 17 11 4 6
5,227,99.50001,12 14 2 7 10 3 16 1 5 8 13 9 15 17 4 11 6
6,221,99.40001,7 14 2 12 10 3 16 1 5 8 13 9 15 17 4 11 6
7,211,99.30001,2 14 7 12 10 3 16 1 5 8 13 9 15 17 4 11 6
8,221,99.20001,2 14 7 12 10 3 16 1 5 15 13 9 8 17 4 11 6
9,211,99.10001,2 14 7 12 10 3 4 1 5 15 13 9 8 17 16 11 6
10,205,99.00002,2 14 7 12 10 3 4 1 5 15 13 11 8 17 16 9 6
11,165,98.90002,2 14 7 12 10 3 4 1 17 15 13 11 8 5 16 9 6
12,171,98.80002,2 14 7 12 9 3 4 1 17 15 13 11 8 5 16 10 6
13,171,98.70002,2 14 7 12 9 3 4 1 17 15 13 11 8 5 16 10 6
14,175,98.60002,2 14 7 12 9 3 4 17 1 15 13 11 8 5 16 10 6
15,187,98.50002,2 14 7 16 9 3 4 17 1 15 13 11 8 5 12 10 6
16,203,98.40002,2 14 7 16 9 3 4 17 1 13 15 11 8 5 12 10 6
17,179,98.30003,2 14 7 16 9 3 4 17 1 13 6 11 8 5 12 10 15
18,169,98.20003,2 14 12 16 9 3 4 17 1 13 6 11 8 5 7 10 15
19,161,98.10003,2 14 12 16 9 3 4 10 1 13 6 11 8 5 7 17 15
20,169,98.00003,2 14 12 16 8 3 4 10 1 13 6 11 9 5 7 17 15
21,177,97.90003,2 14 12 16 8 10 4 3 1 13 6 11 9 5 7 17 15
22,171,97.80003,3 14 12 16 8 10 4 2 1 13 6 11 9 5 7 17 15
23,181,97.70004,3 14 12 16 7 10 4 2 1 13 6 11 9 5 8 17 15
24,181,97.60004,3 2 12 16 7 10 4 14 1 13 6 11 9 5 8 17 15
25,171,97.50004,3 2 12 6 7 10 4 14 1 13 16 11 9 5 8 17 15
26,175,97.40004,3 2 12 6 17 10 4 14 1 13 16 11 9 5 8 7 15
27,183,97.30004,3 2 12 6 17 10 4 14 1 13 16 7 9 5 8 11 15
