Iteration,Cost,Temperature,Sequence
0,217,10,3 15 11 9 1 13 2 8 4 12 5 16 7 17 14 10 6
1,217,9.99,3 15 11 9 1 13 5 8 4 12 2 16 7 17 14 10 6
2,225,9.98,3 15 11 9 1 13 5 8 4 12 2 16 7 17 14 6 10
3,225,9.969999,3 15 11 9 1 13 5 8 4 12 2 16 7 17 14 6 10
4,223,9.959999,3 15 11 9 1 4 5 8 13 12 2 16 7 17 14 6 10
5,221,9.949999,3 15 11 9 1 4 5 8 13 12 2 17 7 16 14 6 10
6,207,9.939999,3 15 11 9 1 4 5 8 13 12 2 17 7 6 14 16 10
7,213,9.929998,3 15 11 9 1 4 5 8 13 6 2 17 7 12 14 16 10
8,209,9.919998,3 5 11 9 1 4 15 8 13 6 2 17 7 12 14 16 10
9,203,9.909998,3 5 11 9 1 4 15 8 13 12 2 17 7 6 14 16 10
10,203,9.899998,3 5 11 9 1 4 15 8 13 12 2 17 7 6 14 16 10
11,183,9.889997,3 5 13 9 1 4 15 8 11 12 2 17 7 6 14 16 10
12,180,9.879997,3 5 13 9 10 4 15 8 11 12 2 17 7 6 14 16 1
13,180,9.869997,3 5 13 9 10 4 17 8 11 12 2 15 7 6 14 16 1
14,180,9.859997,3 5 13 9 10 4 17 8 11 12 2 15 7 6 14 16 1
15,180,9.849997,3 5 13 9 10 4 17 8 11 12 2 15 7 6 14 16 1
16,158,9.839996,3 5 13 17 10 4 9 8 11 12 2 15 7 6 14 16 1
17,174,9.829996,3 9 13 17 10 4 5 8 11 12 2 15 7 6 14 16 1
18,174,9.819996,3 4 13 17 10 9 5 8 11 12 2 15 7 6 14 16 1
19,176,9.809996,3 10 13 17 4 9 5 8 11 12 2 15 7 6 14 16 1
20,176,9.799995,3 10 13 17 4 9 5 8 11 12 2 15 7 6 14 16 1
21,174,9.789995,3 4 13 17 10 9 5 8 11 12 2 15 7 6 14 16 1
22,168,9.779995,3 4 13 17 10 9 5 8 11 12 2 15 7 6 16 14 1
23,164,9.769995,3 4 10 17 13 9 5 8 11 12 2 15 7 6 16 14 1
24,160,9.759995,3 4 10 17 13 16 5 8 11 12 2 15 7 6 9 14 1
25,158,9.749994,3 4 10 14 13 16 5 8 11 12 2 15 7 6 9 17 1
26,158,9.739994,3 4 10 14 13 16 5 8 11 12 2 15 7 6 9 17 1
27,152,9.729994,3 4 10 14 13 16 5 8 11 12 9 15 7 6 2 17 1
28,164,9.719994,7 4 10 14 13 16 5 8 11 12 9 15 3 6 2 17 1
29,170,9.709993,7 9 10 14 13 16 5 8 11 12 4 15 3 6 2 17 1
30,170,9.699993,7 9 10 14 13 16 5 8 11 12 4 15 3 6 2 17 1
31,170,9.689993,7 9 10 14 13 16 5 8 11 12 4 15 3 6 2 17 1
32,166,9.679993,7 9 10 14 13 5 16 8 11 12 4 15 3 6 2 17 1
33,190,9.669992,7 17 10 14 13 5 16 8 11 12 4 15 3 6 2 9 1
34,190,9.659992,7 15 10 14 13 5 16 8 11 12 4 17 3 6 2 9 1
35,190,9.649992,7 15 10 14 13 5 16 8 11 12 4 17 3 6 2 9 1
36,190,9.639992,7 15 10 14 13 5 16 8 11 12 4 17 3 2 6 9 1
37,190,9.629992,7 15 10 14 13 5 16 8 11 12 4 17 3 2 6 9 1
38,190,9.619991,7 15 10 14 6 5 16 8 11 12 4 17 3 2 13 9 1
39,172,9.609991,7 15 17 14 6 5 16 8 11 12 4 10 3 2 13 9 1
40,176,9.599991,12 15 17 14 6 5 16 8 11 7 4 10 3 2 13 9 1
41,176,9.589991,12 15 17 14 6 5 16 8 11 7 4 10 3 2 13 9 1
42,165,9.57999,12 15 17 14 6 5 16 8 11 7 4 10 1 2 13 9 3
43,161,9.56999,12 15 17 14 6 5 16 8 11 7 9 10 1 2 13 4 3
44,153,9.55999,12 15 17 14 4 5 16 8 11 7 9 10 1 2 13 6 3
45,171,9.54999,12 15 17 14 7 5 16 8 11 4 9 10 1 2 13 6 3
46,177,9.539989,12 15 17 14 6 5 16 8 11 4 9 10 1 2 13 7 3
47,177,9.529989,12 15 17 14 6 5 16 8 11 4 9 10 1 2 13 7 3
48,181,9.519989,12 15 17 14 6 5 16 8 11 4 9 10 1 2 3 7 13
49,181,9.509989,12 15 17 14 6 5 16 8 11 4 9 10 1 2 3 7 13
50,181,9.499989,12 15 17 14 6 5 16 8 11 4 9 10 1 2 3 7 13
51,183,9.489988,12 1 17 14 6 5 16 8 11 4 9 10 15 2 3 7 13
52,183,9.479988,12 1 17 14 6 5 16 8 11 4 9 10 15 2 3 7 13
53,183,9.469988,12 1 17 14 6 5 16 8 11 4 9 10 15 2 3 7 13
54,177,9.459988,1 12 17 14 6 5 16 8 11 4 9 10 15 2 3 7 13
55,177,9.449987,1 12 17 14 6 5 16 8 11 4 9 10 15 2 3 7 13
56,178,9.439987,1 12 17 14 6 5 16 8 11 13 9 10 15 2 3 7 4
57,178,9.429987,1 12 17 14 6 5 16 8 11 13 9 10 15 2 3 7 4
58,178,9.419987,1 12 17 14 6 5 16 8 11 13 9 10 15 2 3 7 4
59,178,9.409986,1 12 17 14 6 5 16 8 11 13 9 10 15 2 3 7 4
60,178,9.399986,1 12 17 14 6 5 16 8 11 13 9 10 15 2 3 7 4
61,184,9.389986,1 12 17 14 6 5 16 8 11 13 9 15 10 2 3 7 4
62,184,9.379986,1 12 17 14 6 5 16 8 11 13 9 15 10 2 3 7 4
63,184,9.369986,1 12 17 14 6 5 16 8 11 13 9 15 10 2 3 7 4
64,184,9.359985,1 12 17 14 6 5 16 8 11 13 9 15 10 2 3 7 4
65,184,9.349985,1 12 17 14 6 5 16 8 11 13 9 15 10 2 3 7 4
66,184,9.339985,1 12 17 14 6 5 16 8 11 13 9 15 10 2 3 7 4
67,184,9.329985,1 12 17 14 6 5 16 8 11 13 9 15 10 2 3 7 4
68,184,9.319984,1 12 17 14 2 5 16 8 11 13 9 15 10 6 3 7 4
69,184,9.309984,1 12 17 14 2 5 16 8 11 13 9 15 10 6 3 7 4
70,184,9.299984,1 12 17 14 2 5 16 8 11 13 9 15 10 6 3 7 4
71,176,9.289984,1 12 17 14 2 5 16 13 11 8 9 15 10 6 3 7 4
72,176,9.279984,1 12 17 14 2 5 16 13 11 8 9 15 10 6 3 7 4
73,174,9.269983,1 17 12 14 2 5 16 13 11 8 9 15 10 6 3 7 4
74,182,9.259983,1 17 12 14 2 5 16 8 11 13 9 15 10 6 3 7 4
75,178,9.249983,1 17 12 14 2 10 16 8 11 13 9 15 5 6 3 7 4
76,178,9.239983,1 17 12 14 2 10 16 8 11 13 9 15 5 6 3 7 4
77,178,9.229982,1 17 12 14 2 10 16 8 11 13 9 15 5 6 3 7 4
78,178,9.219982,1 17 12 14 2 10 16 8 11 13 9 15 5 6 3 7 4
79,178,9.209982,1 17 12 14 2 10 16 8 11 13 9 15 5 6 3 7 4
80,175,9.199982,1 17 12 14 2 10 16 8 11 13 9 15 5 4 3 7 6
81,175,9.189981,1 17 12 14 2 10 16 8 11 13 9 15 5 4 3 7 6
82,167,9.179981,1 17 12 14 2 10 16 8 11 13 9 5 15 4 3 7 6
83,167,9.169981,1 17 12 14 2 10 16 8 11 13 9 5 15 4 3 7 6
84,167,9.159981,1 17 12 14 2 10 16 8 11 13 9 5 15 4 3 7 6
85,167,9.149981,1 17 12 14 2 10 16 8 11 13 9 5 15 4 3 7 6
86,167,9.13998,1 17 12 14 2 10 16 8 11 13 9 5 15 4 3 7 6
87,163,9.12998,1 17 12 15 2 10 16 8 11 13 9 5 14 4 3 7 6
88,163,9.11998,1 17 12 15 2 10 16 8 11 13 9 5 14 4 3 7 6
89,159,9.10998,1 17 4 15 2 10 16 8 11 13 9 5 14 12 3 7 6
90,159,9.099979,1 17 4 15 2 10 16 8 11 13 12 5 14 9 3 7 6
91,159,9.089979,1 17 4 15 2 10 16 8 11 13 12 5 14 9 3 7 6
92,159,9.079979,1 17 4 15 2 10 16 8 11 13 12 5 14 9 3 7 6
93,159,9.069979,1 17 4 15 2 10 16 8 11 13 12 5 14 9 3 7 6
94,153,9.059978,1 17 4 15 2 10 14 8 11 13 12 5 16 9 3 7 6
95,155,9.049978,1 17 4 15 2 10 14 8 3 13 12 5 16 9 11 7 6
96,157,9.039978,1 17 4 15 2 8 14 10 3 13 12 5 16 9 11 7 6
97,157,9.029978,1 17 4 15 2 8 14 10 3 6 12 5 16 9 11 7 13
98,157,9.019978,1 17 4 15 2 8 14 10 3 6 12 5 16 9 11 7 13
99,165,9.009977,1 17 4 15 2 8 14 10 3 6 12 5 16 11 9 7 13
100,171,8.999977,1 17 4 15 2 8 14 10 3 6 12 5 11 16 9 7 13
101,189,8.989977,1 17 4 15 5 8 14 10 3 6 12 2 11 16 9 7 13
