Iteration,Cost,Temperature,Sequence
0,205,300,12 10 1 11 9 16 2 13 6 17 14 4 3 7 8 15 5
1,195,299.99,6 10 1 11 9 16 2 13 12 17 14 4 3 7 8 15 5
2,193,299.98,6 10 1 11 9 16 14 13 12 17 2 4 3 7 8 15 5
3,195,299.97,6 10 1 11 9 16 14 13 12 17 5 4 3 7 8 15 2
4,203,299.96,6 13 1 11 9 16 14 10 12 17 5 4 3 7 8 15 2
5,215,299.95,6 13 1 11 9 16 14 10 12 17 5 8 3 7 4 15 2
6,225,299.9399,6 13 1 11 9 16 14 10 12 17 5 8 3 4 7 15 2
7,207,299.9299,6 13 1 11 9 16 12 10 14 17 5 8 3 4 7 15 2
8,195,299.9199,6 13 1 11 9 16 12 10 15 17 5 8 3 4 7 14 2
9,183,299.9099,6 13 1 11 9 16 12 10 15 17 5 7 3 4 8 14 2
10,195,299.8999,6 13 1 11 9 16 12 10 14 17 5 7 3 4 8 15 2
11,185,299.8899,6 13 5 11 9 16 12 10 14 17 1 7 3 4 8 15 2
12,183,299.8799,6 13 5 11 9 16 1 10 14 17 12 7 3 4 8 15 2
13,179,299.8699,6 13 5 11 9 16 1 10 14 17 12 7 3 8 4 15 2
14,185,299.8599,6 11 5 13 9 16 1 10 14 17 12 7 3 8 4 15 2
15,209,299.8499,6 2 5 13 9 16 1 10 14 17 12 7 3 8 4 15 11
16,233,299.8398,6 2 5 13 10 16 1 9 14 17 12 7 3 8 4 15 11
17,245,299.8298,6 2 5 13 10 7 1 9 14 17 12 16 3 8 4 15 11
18,215,299.8198,6 2 5 13 8 7 1 9 14 17 12 16 3 10 4 15 11
19,211,299.8098,6 2 5 13 8 7 1 9 14 17 16 12 3 10 4 15 11
20,217,299.7998,6 2 5 15 8 7 1 9 14 17 16 12 3 10 4 13 11
21,211,299.7898,6 2 5 15 8 11 1 9 14 17 16 12 3 10 4 13 7
22,233,299.7798,6 2 5 15 8 4 1 9 14 17 16 12 3 10 11 13 7
23,229,299.7698,6 2 5 15 8 12 1 9 14 17 16 4 3 10 11 13 7
24,231,299.7598,6 2 5 10 8 12 1 9 14 17 16 4 3 15 11 13 7
25,231,299.7498,6 2 5 10 8 1 12 9 14 17 16 4 3 15 11 13 7
26,215,299.7397,6 2 5 3 8 1 12 9 14 17 16 4 10 15 11 13 7
27,223,299.7297,6 2 5 3 8 1 12 9 14 17 16 10 4 15 11 13 7
28,221,299.7197,6 13 5 3 8 1 12 9 14 17 16 10 4 15 11 2 7
29,167,299.7097,6 13 5 3 2 1 12 9 14 17 16 10 4 15 11 8 7
30,187,299.6997,6 13 5 3 11 1 12 9 14 17 16 10 4 15 2 8 7
31,179,299.6897,6 13 5 3 11 1 12 9 14 17 10 16 4 15 2 8 7
32,187,299.6797,6 4 5 3 11 1 12 9 14 17 10 16 13 15 2 8 7
33,167,299.6697,6 4 5 3 2 1 12 9 14 17 10 16 13 15 11 8 7
34,181,299.6597,6 4 12 3 2 1 5 9 14 17 10 16 13 15 11 8 7
35,175,299.6497,6 4 14 3 2 1 5 9 12 17 10 16 13 15 11 8 7
36,187,299.6396,6 4 14 3 12 1 5 9 2 17 10 16 13 15 11 8 7
37,187,299.6296,6 4 14 3 12 1 5 9 16 17 10 2 13 15 11 8 7
38,209,299.6196,6 4 14 3 12 1 5 9 16 17 10 2 13 11 15 8 7
39,209,299.6096,6 4 14 3 11 1 5 9 16 17 10 2 13 12 15 8 7
40,191,299.5996,6 4 14 3 11 1 5 15 16 17 10 2 13 12 9 8 7
41,181,299.5896,6 4 14 3 13 1 5 15 16 17 10 2 11 12 9 8 7
