Iteration,Cost,Temperature,Sequence
0,174,100,1 4 20 2 7 10 14 16 12 19 3 8 13 18 9 15 17 11 5 6
1,178,99.99,1 4 20 2 7 10 14 16 12 19 3 8 13 18 9 15 17 5 11 6
2,190,99.98,1 4 20 2 7 10 14 12 16 19 3 8 13 18 9 15 17 5 11 6
3,194,99.96999,1 4 20 2 7 10 14 12 16 19 3 8 17 18 9 15 13 5 11 6
4,192,99.95999,1 4 20 2 7 10 14 11 16 19 3 8 17 18 9 15 13 5 12 6
5,192,99.94999,1 4 20 2 7 10 14 11 16 19 3 8 17 18 9 15 13 5 12 6
6,192,99.93999,1 4 20 2 7 10 14 11 16 19 3 8 17 5 9 15 13 18 12 6
7,188,99.92999,1 4 20 2 7 10 14 11 16 19 3 5 17 8 9 15 13 18 12 6
8,196,99.91998,1 9 20 2 7 10 14 11 16 19 3 5 17 8 4 15 13 18 12 6
9,214,99.90998,3 9 20 2 7 10 14 11 16 19 1 5 17 8 4 15 13 18 12 6
10,214,99.89998,15 9 20 2 7 10 14 11 16 19 1 5 17 8 4 3 13 18 12 6
11,218,99.88998,15 9 20 2 10 7 14 11 16 19 1 5 17 8 4 3 13 18 12 6
12,216,99.87997,15 9 20 2 10 7 14 11 16 1 19 5 17 8 4 3 13 18 12 6
13,222,99.86997,15 9 20 2 10 7 18 11 16 1 19 5 17 8 4 3 13 14 12 6
14,220,99.85997,15 9 20 2 10 8 18 11 16 1 19 5 17 7 4 3 13 14 12 6
15,212,99.84997,15 9 20 2 10 8 1 11 16 18 19 5 17 7 4 3 13 14 12 6
16,203,99.83997,15 9 6 2 10 8 1 11 16 18 19 5 17 7 4 3 13 14 12 20
17,203,99.82996,15 9 6 2 10 8 1 11 16 5 19 18 17 7 4 3 13 14 12 20
18,207,99.81996,15 3 6 2 10 8 1 11 16 5 19 18 17 7 4 9 13 14 12 20
19,193,99.80996,15 3 6 2 10 8 9 11 16 5 19 18 17 7 4 1 13 14 12 20
20,207,99.79996,15 3 6 2 10 8 17 11 16 5 19 18 9 7 4 1 13 14 12 20
21,205,99.78996,15 4 6 2 10 8 17 11 16 5 19 18 9 7 3 1 13 14 12 20
