Iteration,Cost,Temperature,Sequence
0,179,10,16 12 18 1 13 14 19 7 15 6 4 20 17 8 11 5 3 9 10 2
1,185,9.9,16 12 18 1 13 14 19 7 17 6 4 20 15 8 11 5 3 9 10 2
2,185,9.799999,16 12 18 1 13 14 19 7 17 6 4 20 15 8 11 5 3 9 10 2
3,187,9.699999,16 12 18 1 13 14 19 7 17 6 4 20 15 8 11 10 3 9 5 2
4,187,9.599998,16 12 18 1 13 14 19 7 17 6 4 20 15 8 11 10 3 9 5 2
5,187,9.499998,16 12 18 1 13 14 19 7 17 6 4 20 15 8 11 10 3 9 5 2
6,179,9.399998,16 12 18 1 13 14 19 7 17 6 10 20 15 8 11 4 3 9 5 2
7,173,9.299997,16 12 18 13 1 14 19 7 17 6 10 20 15 8 11 4 3 9 5 2
8,173,9.199997,16 12 18 13 1 14 19 7 17 6 10 20 15 8 11 4 3 9 5 2
9,185,9.099997,16 12 18 13 1 14 19 7 17 6 10 20 4 8 11 15 3 9 5 2
10,175,8.999996,16 19 18 13 1 14 12 7 17 6 10 20 4 8 11 15 3 9 5 2
11,187,8.899996,7 19 18 13 1 14 12 16 17 6 10 20 4 8 11 15 3 9 5 2
12,187,8.799995,7 19 18 13 1 14 12 16 17 6 10 20 4 8 11 15 3 9 5 2
13,187,8.699995,7 19 18 13 1 14 12 16 17 6 10 20 4 8 11 15 3 9 5 2
14,171,8.599995,7 19 18 13 1 14 12 16 17 20 10 6 4 8 11 15 3 9 5 2
15,181,8.499994,7 19 18 6 1 14 12 16 17 20 10 13 4 8 11 15 3 9 5 2
16,175,8.399994,7 19 18 6 1 14 20 16 17 12 10 13 4 8 11 15 3 9 5 2
17,173,8.299994,7 19 11 6 1 14 20 16 17 12 10 13 4 8 18 15 3 9 5 2
18,173,8.199993,7 19 11 6 1 14 20 16 17 12 10 13 4 8 18 15 3 9 5 2
19,165,8.099993,7 3 11 6 1 14 20 16 17 12 10 13 4 8 18 15 19 9 5 2
20,181,7.999993,7 3 11 6 1 14 19 16 17 12 10 13 4 8 18 15 20 9 5 2
21,175,7.899993,7 6 11 3 1 14 19 16 17 12 10 13 4 8 18 15 20 9 5 2
22,177,7.799993,7 6 11 3 1 14 19 16 17 12 10 13 4 9 18 15 20 8 5 2
23,177,7.699993,7 6 11 3 1 14 19 16 17 12 10 13 4 9 18 15 20 8 5 2
24,177,7.599993,7 6 11 3 1 14 19 16 17 12 10 13 4 9 18 15 20 8 5 2
25,177,7.499993,7 6 11 3 1 14 19 16 17 12 10 13 4 9 18 15 20 8 5 2
26,185,7.399993,17 6 11 3 1 14 19 16 7 12 10 13 4 9 18 15 20 8 5 2
27,181,7.299994,17 6 11 3 1 13 19 16 7 12 10 14 4 9 18 15 20 8 5 2
28,183,7.199994,17 6 11 3 1 13 19 16 7 12 10 14 4 20 18 15 9 8 5 2
29,187,7.099994,17 6 11 3 1 13 19 16 7 12 10 14 4 20 18 5 9 8 15 2
30,191,6.999994,17 6 13 3 1 11 19 16 7 12 10 14 4 20 18 5 9 8 15 2
