Iteration,Cost,Temperature,Sequence
0,207,300,3 19 15 11 9 20 1 13 2 8 4 12 5 16 7 17 14 10 6 18
1,203,299.99,3 19 15 11 9 12 1 13 2 8 4 20 5 16 7 17 14 10 6 18
2,211,299.98,3 19 15 11 9 13 1 12 2 8 4 20 5 16 7 17 14 10 6 18
3,219,299.97,4 19 15 11 9 13 1 12 2 8 3 20 5 16 7 17 14 10 6 18
4,211,299.96,5 19 15 11 9 13 1 12 2 8 3 20 4 16 7 17 14 10 6 18
5,203,299.95,5 19 15 11 9 12 1 13 2 8 3 20 4 16 7 17 14 10 6 18
6,189,299.9399,5 19 15 11 9 12 3 13 2 8 1 20 4 16 7 17 14 10 6 18
7,211,299.9299,5 19 15 11 9 12 10 13 2 8 1 20 4 16 7 17 14 3 6 18
8,219,299.9199,5 19 15 11 9 10 12 13 2 8 1 20 4 16 7 17 14 3 6 18
9,219,299.9099,5 19 15 20 9 10 12 13 2 8 1 11 4 16 7 17 14 3 6 18
10,211,299.8999,5 19 15 20 9 8 12 13 2 10 1 11 4 16 7 17 14 3 6 18
11,201,299.8899,5 19 15 20 8 9 12 13 2 10 1 11 4 16 7 17 14 3 6 18
12,189,299.8799,5 19 15 20 8 9 12 13 2 1 10 11 4 16 7 17 14 3 6 18
13,211,299.8699,5 19 2 20 8 9 12 13 15 1 10 11 4 16 7 17 14 3 6 18
14,217,299.8599,5 19 2 10 8 9 12 13 15 1 20 11 4 16 7 17 14 3 6 18
15,231,299.8499,5 19 2 12 8 9 10 13 15 1 20 11 4 16 7 17 14 3 6 18
16,215,299.8398,5 19 2 12 8 9 10 6 15 1 20 11 4 16 7 17 14 3 13 18
17,222,299.8298,5 19 2 12 18 9 10 6 15 1 20 11 4 16 7 17 14 3 13 8
18,224,299.8198,5 19 2 12 18 9 10 6 15 1 17 11 4 16 7 20 14 3 13 8
19,208,299.8098,5 19 2 12 18 9 10 16 15 1 17 11 4 6 7 20 14 3 13 8
20,194,299.7998,5 19 2 12 18 17 10 16 15 1 9 11 4 6 7 20 14 3 13 8
21,194,299.7898,5 19 2 12 18 17 10 16 15 1 9 11 4 6 7 20 14 3 13 8
22,186,299.7798,5 4 2 12 18 17 10 16 15 1 9 11 19 6 7 20 14 3 13 8
23,178,299.7698,2 4 5 12 18 17 10 16 15 1 9 11 19 6 7 20 14 3 13 8
24,188,299.7598,2 4 5 12 18 17 10 19 15 1 9 11 16 6 7 20 14 3 13 8
25,192,299.7498,2 4 5 12 18 17 10 19 15 1 9 11 16 6 7 20 13 3 14 8
26,188,299.7397,4 2 5 12 18 17 10 19 15 1 9 11 16 6 7 20 13 3 14 8
27,198,299.7297,4 2 5 12 18 17 10 19 15 1 9 11 16 6 3 20 13 7 14 8
28,200,299.7197,4 2 5 12 18 16 10 19 15 1 9 11 17 6 3 20 13 7 14 8
29,202,299.7097,4 2 5 12 18 16 10 19 15 11 9 1 17 6 3 20 13 7 14 8
30,186,299.6997,4 2 5 12 18 16 10 19 15 11 9 1 17 14 3 20 13 7 6 8
31,190,299.6897,4 2 5 12 18 1 10 19 15 11 9 16 17 14 3 20 13 7 6 8
32,190,299.6797,4 2 5 12 18 1 10 19 15 11 9 20 17 14 3 16 13 7 6 8
33,172,299.6697,4 2 5 12 9 1 10 19 15 11 18 20 17 14 3 16 13 7 6 8
34,178,299.6597,4 2 5 12 9 11 10 19 15 1 18 20 17 14 3 16 13 7 6 8
35,178,299.6497,4 2 5 12 9 11 10 19 15 1 18 20 17 14 3 16 13 7 6 8
36,198,299.6396,4 9 5 12 2 11 10 19 15 1 18 20 17 14 3 16 13 7 6 8
37,178,299.6296,4 2 5 12 9 11 10 19 15 1 18 20 17 14 3 16 13 7 6 8
38,186,299.6196,4 2 5 12 9 11 10 19 15 1 18 20 17 14 3 16 7 13 6 8
39,172,299.6096,4 2 5 12 9 11 10 19 15 3 18 20 17 14 1 16 7 13 6 8
40,184,299.5996,4 2 5 18 9 11 10 19 15 3 12 20 17 14 1 16 7 13 6 8
41,202,299.5896,4 2 5 18 9 16 10 19 15 3 12 20 17 14 1 11 7 13 6 8
42,186,299.5796,4 2 5 18 9 16 10 1 15 3 12 20 17 14 19 11 7 13 6 8
43,184,299.5696,4 2 5 18 9 16 13 1 15 3 12 20 17 14 19 11 7 10 6 8
44,194,299.5596,4 2 5 18 9 16 13 1 15 3 12 20 17 14 7 11 19 10 6 8
45,220,299.5496,4 20 5 18 9 16 13 1 15 3 12 2 17 14 7 11 19 10 6 8
46,222,299.5396,4 20 7 18 9 16 13 1 15 3 12 2 17 14 5 11 19 10 6 8
47,204,299.5295,4 20 7 18 9 19 13 1 15 3 12 2 17 14 5 11 16 10 6 8
48,204,299.5195,4 20 7 18 9 19 13 1 15 3 12 2 14 17 5 11 16 10 6 8
49,198,299.5095,4 20 7 18 9 19 16 1 15 3 12 2 14 17 5 11 13 10 6 8
50,190,299.4995,4 9 7 18 20 19 16 1 15 3 12 2 14 17 5 11 13 10 6 8
51,184,299.4895,4 8 7 18 20 19 16 1 15 3 12 2 14 17 5 11 13 10 6 9
52,176,299.4795,4 8 7 18 20 19 3 1 15 16 12 2 14 17 5 11 13 10 6 9
53,178,299.4695,4 8 6 18 20 19 3 1 15 16 12 2 14 17 5 11 13 10 7 9
54,190,299.4595,4 8 6 18 20 19 3 1 15 16 12 2 14 17 5 10 13 11 7 9
55,196,299.4495,4 8 6 18 11 19 3 1 15 16 12 2 14 17 5 10 13 20 7 9
56,197,299.4395,4 8 6 18 11 19 3 1 15 16 12 2 14 9 5 10 13 20 7 17
57,191,299.4294,4 8 6 18 11 19 3 1 16 15 12 2 14 9 5 10 13 20 7 17
58,191,299.4194,4 8 6 18 11 19 3 1 16 15 12 2 14 9 5 10 13 20 7 17
59,199,299.4094,4 8 6 18 11 19 3 1 16 15 12 2 14 7 5 10 13 20 9 17
60,199,299.3994,4 8 6 18 11 19 3 1 16 10 12 2 14 7 5 15 13 20 9 17
61,193,299.3894,4 8 6 11 18 19 3 1 16 10 12 2 14 7 5 15 13 20 9 17
62,185,299.3794,7 8 6 11 18 19 3 1 16 10 12 2 14 4 5 15 13 20 9 17
63,191,299.3694,7 8 6 1 18 19 3 11 16 10 12 2 14 4 5 15 13 20 9 17
64,181,299.3594,7 1 6 8 18 19 3 11 16 10 12 2 14 4 5 15 13 20 9 17
65,177,299.3494,7 1 6 8 18 19 3 11 16 10 12 2 13 4 5 15 14 20 9 17
66,177,299.3394,7 1 6 8 18 19 3 11 16 10 5 2 13 4 12 15 14 20 9 17
67,195,299.3293,7 1 6 8 18 14 3 11 16 10 5 2 13 4 12 15 19 20 9 17
68,195,299.3193,7 1 6 8 18 14 3 11 16 10 5 4 13 2 12 15 19 20 9 17
69,207,299.3093,12 1 6 8 18 14 3 11 16 10 5 4 13 2 7 15 19 20 9 17
70,207,299.2993,12 1 6 8 18 14 3 11 16 10 5 4 13 2 7 15 19 20 9 17
71,205,299.2893,12 1 6 20 18 14 3 11 16 10 5 4 13 2 7 15 19 8 9 17
72,203,299.2793,12 1 6 20 18 14 3 11 5 10 16 4 13 2 7 15 19 8 9 17
73,191,299.2693,12 1 6 20 18 14 3 11 5 10 16 4 8 2 7 15 19 13 9 17
74,193,299.2593,12 1 6 20 18 14 3 11 15 10 16 4 8 2 7 5 19 13 9 17
75,181,299.2493,3 1 6 20 18 14 12 11 15 10 16 4 8 2 7 5 19 13 9 17
76,175,299.2393,3 1 6 20 18 14 12 11 15 10 16 4 8 2 7 9 19 13 5 17
77,187,299.2292,3 1 6 20 18 14 16 11 15 10 12 4 8 2 7 9 19 13 5 17
78,205,299.2192,3 10 6 20 18 14 16 11 15 1 12 4 8 2 7 9 19 13 5 17
79,203,299.2092,3 10 6 20 15 14 16 11 18 1 12 4 8 2 7 9 19 13 5 17
80,213,299.1992,3 10 6 20 15 14 16 11 18 1 12 4 8 13 7 9 19 2 5 17
81,211,299.1892,3 10 6 20 15 14 16 11 8 1 12 4 18 13 7 9 19 2 5 17
82,201,299.1792,3 10 6 20 15 14 16 11 8 1 12 4 7 13 18 9 19 2 5 17
83,201,299.1692,15 10 6 20 3 14 16 11 8 1 12 4 7 13 18 9 19 2 5 17
84,205,299.1592,15 10 6 20 3 14 16 8 11 1 12 4 7 13 18 9 19 2 5 17
