Iteration,Cost,Temperature,Sequence
0,189,300,18 10 17 19 14 3 5 13 2 7 12 8 11 4 6 1 15 9 20 16
1,199,299.9,18 10 17 19 14 3 4 13 2 7 12 8 11 5 6 1 15 9 20 16
2,205,299.8,13 10 17 19 14 3 4 18 2 7 12 8 11 5 6 1 15 9 20 16
3,199,299.7,13 9 17 19 14 3 4 18 2 7 12 8 11 5 6 1 15 10 20 16
4,197,299.6,13 5 17 19 14 3 4 18 2 7 12 8 11 9 6 1 15 10 20 16
5,203,299.5,13 5 17 19 14 3 4 18 2 7 15 8 11 9 6 1 12 10 20 16
6,201,299.4,15 5 17 19 14 3 4 18 2 7 13 8 11 9 6 1 12 10 20 16
7,199,299.3,15 5 17 19 3 14 4 18 2 7 13 8 11 9 6 1 12 10 20 16
8,201,299.2,15 5 17 19 3 20 4 18 2 7 13 8 11 9 6 1 12 10 14 16
9,185,299.0999,4 5 17 19 3 20 15 18 2 7 13 8 11 9 6 1 12 10 14 16
10,189,298.9999,4 5 17 19 8 20 15 18 2 7 13 3 11 9 6 1 12 10 14 16
11,187,298.8999,4 5 17 20 8 19 15 18 2 7 13 3 11 9 6 1 12 10 14 16
12,203,298.7999,4 17 5 20 8 19 15 18 2 7 13 3 11 9 6 1 12 10 14 16
13,205,298.6999,4 17 5 20 2 19 15 18 8 7 13 3 11 9 6 1 12 10 14 16
14,193,298.5999,4 17 11 20 2 19 15 18 8 7 13 3 5 9 6 1 12 10 14 16
15,187,298.4999,4 7 11 20 2 19 15 18 8 17 13 3 5 9 6 1 12 10 14 16
16,187,298.3999,4 7 11 20 2 19 15 18 8 17 13 3 5 9 1 6 12 10 14 16
17,191,298.2999,4 7 11 20 2 19 15 14 8 17 13 3 5 9 1 6 12 10 18 16
18,195,298.1999,4 7 11 20 2 19 15 16 8 17 13 3 5 9 1 6 12 10 18 14
19,195,298.0999,4 7 15 20 2 19 11 16 8 17 13 3 5 9 1 6 12 10 18 14
20,199,297.9999,4 7 15 20 2 19 11 16 8 17 13 12 5 9 1 6 3 10 18 14
21,197,297.8999,4 7 15 20 2 19 11 16 8 17 13 12 5 9 10 6 3 1 18 14
22,207,297.7999,4 7 10 20 2 19 11 16 8 17 13 12 5 9 15 6 3 1 18 14
23,211,297.6999,4 7 20 10 2 19 11 16 8 17 13 12 5 9 15 6 3 1 18 14
24,213,297.5999,8 7 20 10 2 19 11 16 4 17 13 12 5 9 15 6 3 1 18 14
25,201,297.4998,8 7 16 10 2 19 11 20 4 17 13 12 5 9 15 6 3 1 18 14
26,197,297.3998,19 7 16 10 2 8 11 20 4 17 13 12 5 9 15 6 3 1 18 14
27,207,297.2998,19 7 16 10 2 8 11 20 4 12 13 17 5 9 15 6 3 1 18 14
28,197,297.1998,19 7 16 10 2 8 11 20 4 12 13 17 15 9 5 6 3 1 18 14
29,187,297.0998,19 7 16 10 2 8 11 1 4 12 13 17 15 9 5 6 3 20 18 14
30,187,296.9998,19 7 16 10 2 11 8 1 4 12 13 17 15 9 5 6 3 20 18 14
31,197,296.8998,19 7 16 10 2 11 8 1 4 12 13 17 15 9 5 18 3 20 6 14
32,195,296.7998,19 7 16 10 2 11 8 1 4 12 13 17 14 9 5 18 3 20 6 15
33,193,296.6998,4 7 16 10 2 11 8 1 19 12 13 17 14 9 5 18 3 20 6 15
34,189,296.5998,4 7 16 10 2 20 8 1 19 12 13 17 14 9 5 18 3 11 6 15
35,189,296.4998,4 7 16 10 2 20 19 1 8 12 13 17 14 9 5 18 3 11 6 15
36,185,296.3998,4 7 16 10 2 20 17 1 8 12 13 19 14 9 5 18 3 11 6 15
37,199,296.2998,4 7 16 10 2 20 1 17 8 12 13 19 14 9 5 18 3 11 6 15
38,201,296.1998,2 7 16 10 4 20 1 17 8 12 13 19 14 9 5 18 3 11 6 15
39,217,296.0998,2 19 16 10 4 20 1 17 8 12 13 7 14 9 5 18 3 11 6 15
40,205,295.9998,2 3 16 10 4 20 1 17 8 12 13 7 14 9 5 18 19 11 6 15
41,205,295.8997,2 3 16 10 4 20 1 17 8 12 13 7 14 9 5 18 19 11 6 15
42,205,295.7997,2 3 16 10 4 20 1 17 8 9 13 7 14 12 5 18 19 11 6 15
43,185,295.6997,20 3 16 10 4 2 1 17 8 9 13 7 14 12 5 18 19 11 6 15
44,209,295.5997,20 3 16 10 4 11 1 17 8 9 13 7 14 12 5 18 19 2 6 15
45,191,295.4997,20 3 16 10 4 11 13 17 8 9 1 7 14 12 5 18 19 2 6 15
46,183,295.3997,20 3 16 10 4 11 13 17 19 9 1 7 14 12 5 18 8 2 6 15
47,179,295.2997,20 10 16 3 4 11 13 17 19 9 1 7 14 12 5 18 8 2 6 15
48,175,295.1997,17 10 16 3 4 11 13 20 19 9 1 7 14 12 5 18 8 2 6 15
49,159,295.0997,17 10 16 14 4 11 13 20 19 9 1 7 3 12 5 18 8 2 6 15
50,183,294.9997,17 5 16 14 4 11 13 20 19 9 1 7 3 12 10 18 8 2 6 15
51,187,294.8997,17 5 16 14 4 15 13 20 19 9 1 7 3 12 10 18 8 2 6 11
52,179,294.7997,17 5 16 14 4 15 13 20 19 9 1 7 10 12 3 18 8 2 6 11
53,183,294.6997,17 5 16 14 4 10 13 20 19 9 1 7 15 12 3 18 8 2 6 11
54,183,294.5997,17 5 16 7 4 10 13 20 19 9 1 14 15 12 3 18 8 2 6 11
55,189,294.4997,3 5 16 7 4 10 13 20 19 9 1 14 15 12 17 18 8 2 6 11
56,181,294.3997,3 6 16 7 4 10 13 20 19 9 1 14 15 12 17 18 8 2 5 11
57,185,294.2997,3 6 16 7 4 10 13 20 19 9 1 14 8 12 17 18 15 2 5 11
58,181,294.1996,3 6 16 7 4 10 14 20 19 9 1 13 8 12 17 18 15 2 5 11
59,181,294.0996,3 9 16 7 4 10 14 20 19 6 1 13 8 12 17 18 15 2 5 11
60,177,293.9996,3 9 16 7 4 10 14 12 19 6 1 13 8 20 17 18 15 2 5 11
61,181,293.8996,3 9 16 7 4 19 14 12 10 6 1 13 8 20 17 18 15 2 5 11
62,199,293.7996,3 9 16 5 4 19 14 12 10 6 1 13 8 20 17 18 15 2 7 11
63,225,293.6996,3 9 16 5 4 19 14 12 10 6 17 13 8 20 1 18 15 2 7 11
64,223,293.5996,3 9 16 5 4 11 14 12 10 6 17 13 8 20 1 18 15 2 7 19
65,217,293.4996,3 9 16 5 4 11 14 12 10 6 17 13 20 8 1 18 15 2 7 19
66,195,293.3996,3 9 16 1 4 11 14 12 10 6 17 13 20 8 5 18 15 2 7 19
67,197,293.2996,3 9 16 1 4 19 14 12 10 6 17 13 20 8 5 18 15 2 7 11
68,181,293.1996,3 9 6 1 4 19 14 12 10 16 17 13 20 8 5 18 15 2 7 11
69,185,293.0996,3 9 6 1 4 19 14 12 10 15 17 13 20 8 5 18 16 2 7 11
70,183,292.9996,3 9 6 1 4 19 14 11 10 15 17 13 20 8 5 18 16 2 7 12
71,175,292.8996,3 9 6 1 4 13 14 11 10 15 17 19 20 8 5 18 16 2 7 12
72,217,292.7996,3 9 6 19 4 13 14 11 10 15 17 1 20 8 5 18 16 2 7 12
73,193,292.6996,3 9 6 19 12 13 14 11 10 15 17 1 20 8 5 18 16 2 7 4
74,199,292.5995,3 9 6 19 12 13 14 11 10 15 17 1 20 7 5 18 16 2 8 4
75,185,292.4995,3 9 6 19 12 13 14 11 10 15 17 8 20 7 5 18 16 2 1 4
76,181,292.3995,3 9 6 19 12 13 14 11 10 16 17 8 20 7 5 18 15 2 1 4
77,193,292.2995,3 14 6 19 12 13 9 11 10 16 17 8 20 7 5 18 15 2 1 4
78,193,292.1995,3 14 9 19 12 13 6 11 10 16 17 8 20 7 5 18 15 2 1 4
79,193,292.0995,3 14 9 19 12 13 6 11 10 16 17 8 20 15 5 18 7 2 1 4
80,213,291.9995,3 14 9 19 12 13 6 11 10 16 17 8 2 15 5 18 7 20 1 4
81,209,291.8995,3 20 9 19 12 13 6 11 10 16 17 8 2 15 5 18 7 14 1 4
82,217,291.7995,3 20 9 19 12 13 6 11 10 16 17 8 2 15 5 14 7 18 1 4
83,229,291.6995,3 20 8 19 12 13 6 11 10 16 17 9 2 15 5 14 7 18 1 4
84,221,291.5995,3 20 8 19 12 13 6 11 10 16 17 9 2 15 5 18 7 14 1 4
85,213,291.4995,3 20 8 19 12 13 6 1 10 16 17 9 2 15 5 18 7 14 11 4
86,179,291.3995,3 5 8 19 12 13 6 1 10 16 17 9 2 15 20 18 7 14 11 4
87,183,291.2995,3 5 8 19 12 13 6 10 1 16 17 9 2 15 20 18 7 14 11 4
88,191,291.1995,3 5 8 19 12 13 6 10 9 16 17 1 2 15 20 18 7 14 11 4
89,187,291.0995,3 5 8 19 12 13 6 10 17 16 9 1 2 15 20 18 7 14 11 4
90,171,290.9995,3 5 8 19 12 13 9 10 17 16 6 1 2 15 20 18 7 14 11 4
