Iteration,Cost,Temperature,Sequence
0,546,300,18 10 17 19 14 3 5 13 2 23 21 7 12 24 8 11 4 6 1 15 22 9 20 16
1,540,299.9,15 10 17 19 14 3 5 13 2 23 21 7 12 24 8 11 4 6 1 18 22 9 20 16
2,572,299.8,15 10 17 19 14 3 5 13 2 24 21 7 12 23 8 11 4 6 1 18 22 9 20 16
3,546,299.7,15 10 17 19 14 3 5 13 2 24 21 7 12 23 8 11 4 1 6 18 22 9 20 16
4,580,299.6,15 10 17 19 14 22 5 13 2 24 21 7 12 23 8 11 4 1 6 18 3 9 20 16
5,606,299.5,15 10 17 19 4 22 5 13 2 24 21 7 12 23 8 11 14 1 6 18 3 9 20 16
6,596,299.4,15 23 17 19 4 22 5 13 2 24 21 7 12 10 8 11 14 1 6 18 3 9 20 16
7,602,299.3,15 23 17 19 4 22 5 13 2 24 21 7 12 10 20 11 14 1 6 18 3 9 8 16
8,622,299.2,15 23 17 19 4 22 5 13 2 24 7 21 12 10 20 11 14 1 6 18 3 9 8 16
9,628,299.0999,15 18 17 19 4 22 5 13 2 24 7 21 12 10 20 11 14 1 6 23 3 9 8 16
10,620,298.9999,15 18 17 19 4 5 22 13 2 24 7 21 12 10 20 11 14 1 6 23 3 9 8 16
11,610,298.8999,15 18 17 19 4 14 22 13 2 24 7 21 12 10 20 11 5 1 6 23 3 9 8 16
12,592,298.7999,15 18 17 19 5 14 22 13 2 24 7 21 12 10 20 11 4 1 6 23 3 9 8 16
13,580,298.6999,15 18 17 19 5 14 2 13 22 24 7 21 12 10 20 11 4 1 6 23 3 9 8 16
14,600,298.5999,15 18 17 19 5 14 2 13 22 24 7 21 12 10 20 11 4 6 1 23 3 9 8 16
15,594,298.4999,15 18 17 19 5 14 2 8 22 24 7 21 12 10 20 11 4 6 1 23 3 9 13 16
16,586,298.3999,15 18 17 19 5 14 2 8 22 24 7 21 12 10 20 11 4 6 1 3 23 9 13 16
17,544,298.2999,15 18 17 8 5 14 2 19 22 24 7 21 12 10 20 11 4 6 1 3 23 9 13 16
18,530,298.1999,15 18 17 8 5 14 2 19 22 24 7 21 12 10 13 11 4 6 1 3 23 9 20 16
19,530,298.0999,15 18 17 8 5 14 2 19 22 24 7 21 12 10 13 11 4 6 1 3 23 9 20 16
20,552,297.9999,15 13 17 8 5 14 2 19 22 24 7 21 12 10 18 11 4 6 1 3 23 9 20 16
21,542,297.8999,15 13 17 8 5 14 24 19 22 2 7 21 12 10 18 11 4 6 1 3 23 9 20 16
22,510,297.7999,15 13 17 8 5 14 24 19 22 2 7 18 12 10 21 11 4 6 1 3 23 9 20 16
23,506,297.6999,15 13 17 8 5 14 24 19 22 2 7 18 12 10 21 11 23 6 1 3 4 9 20 16
24,516,297.5999,15 13 17 8 4 14 24 19 22 2 7 18 12 10 21 11 23 6 1 3 5 9 20 16
25,530,297.4998,1 13 17 8 4 14 24 19 22 2 7 18 12 10 21 11 23 6 15 3 5 9 20 16
26,502,297.3998,1 2 17 8 4 14 24 19 22 13 7 18 12 10 21 11 23 6 15 3 5 9 20 16
27,484,297.2998,1 2 17 8 4 14 24 19 22 13 7 18 12 10 21 11 23 6 15 9 5 3 20 16
28,484,297.1998,1 2 17 12 4 14 24 19 22 13 7 18 8 10 21 11 23 6 15 9 5 3 20 16
29,504,297.0998,1 2 17 12 4 14 24 7 22 13 19 18 8 10 21 11 23 6 15 9 5 3 20 16
30,540,296.9998,1 21 17 12 4 14 24 7 22 13 19 18 8 10 2 11 23 6 15 9 5 3 20 16
31,544,296.8998,1 21 17 12 4 14 24 9 22 13 19 18 8 10 2 11 23 6 15 7 5 3 20 16
32,578,296.7998,1 21 17 12 4 14 24 9 22 13 19 18 8 10 2 11 23 6 15 7 16 3 20 5
33,582,296.6998,1 21 17 12 4 14 24 9 10 13 19 18 8 22 2 11 23 6 15 7 16 3 20 5
34,530,296.5998,1 21 17 12 4 14 24 9 10 13 19 18 8 22 16 11 23 6 15 7 2 3 20 5
35,534,296.4998,1 21 9 12 4 14 24 17 10 13 19 18 8 22 16 11 23 6 15 7 2 3 20 5
36,512,296.3998,1 21 15 12 4 14 24 17 10 13 19 18 8 22 16 11 23 6 9 7 2 3 20 5
37,472,296.2998,1 21 15 12 8 14 24 17 10 13 19 18 4 22 16 11 23 6 9 7 2 3 20 5
38,488,296.1998,1 21 15 12 8 14 24 22 10 13 19 18 4 17 16 11 23 6 9 7 2 3 20 5
39,500,296.0998,1 21 15 12 4 14 24 22 10 13 19 18 8 17 16 11 23 6 9 7 2 3 20 5
40,494,295.9998,1 21 15 12 4 14 24 22 10 13 19 18 8 17 23 11 16 6 9 7 2 3 20 5
41,498,295.8997,1 21 15 12 4 14 13 22 10 24 19 18 8 17 23 11 16 6 9 7 2 3 20 5
42,482,295.7997,1 4 15 12 21 14 13 22 10 24 19 18 8 17 23 11 16 6 9 7 2 3 20 5
43,492,295.6997,1 4 15 12 21 14 13 22 10 6 19 18 8 17 23 11 16 24 9 7 2 3 20 5
44,496,295.5997,1 4 15 12 21 14 13 22 10 6 19 18 8 17 23 11 9 24 16 7 2 3 20 5
45,501,295.4997,1 4 15 12 21 5 13 22 10 6 19 18 8 17 23 11 9 24 16 7 2 3 20 14
