Iteration,Cost,Temperature,Sequence
0,571,300,16 12 18 1 13 22 14 19 7 15 6 4 20 17 23 24 8 11 5 3 9 21 10 2
1,609,299.9,16 12 18 1 13 22 14 19 7 15 6 4 20 10 23 24 8 11 5 3 9 21 17 2
2,539,299.8,16 12 18 20 13 22 14 19 7 15 6 4 1 10 23 24 8 11 5 3 9 21 17 2
3,517,299.7,16 12 18 20 13 22 14 19 7 9 6 4 1 10 23 24 8 11 5 3 15 21 17 2
4,517,299.6,16 12 18 20 13 22 14 19 7 9 6 4 1 10 23 24 8 11 5 3 15 21 17 2
5,461,299.5,16 19 18 20 13 22 14 12 7 9 6 4 1 10 23 24 8 11 5 3 15 21 17 2
6,461,299.4,16 19 18 20 13 22 14 12 7 9 6 4 1 10 23 17 8 11 5 3 15 21 24 2
7,471,299.3,16 19 18 20 13 22 14 12 7 9 6 4 24 10 23 17 8 11 5 3 15 21 1 2
8,475,299.2,6 19 18 20 13 22 14 12 7 9 16 4 24 10 23 17 8 11 5 3 15 21 1 2
9,475,299.0999,6 19 18 20 13 22 14 12 7 9 16 4 24 10 23 17 8 11 5 3 15 21 1 2
10,500,298.9999,6 19 18 20 13 22 14 12 7 9 16 4 24 10 23 17 8 11 5 3 2 21 1 15
11,496,298.8999,6 19 18 23 13 22 14 12 7 9 16 4 24 10 20 17 8 11 5 3 2 21 1 15
12,496,298.7999,6 19 18 23 13 21 14 12 7 9 16 4 24 10 20 17 8 11 5 3 2 22 1 15
13,488,298.6999,6 19 18 23 13 21 4 12 7 9 16 14 24 10 20 17 8 11 5 3 2 22 1 15
14,532,298.5999,6 19 18 23 13 3 4 12 7 9 16 14 24 10 20 17 8 11 5 21 2 22 1 15
15,542,298.4999,6 19 18 23 13 3 4 17 7 9 16 14 24 10 20 12 8 11 5 21 2 22 1 15
16,524,298.3999,6 19 18 23 13 3 4 17 7 9 16 14 24 10 20 12 8 1 5 21 2 22 11 15
17,532,298.2999,6 19 18 23 13 3 4 17 7 9 16 14 24 10 11 12 8 1 5 21 2 22 20 15
18,494,298.1999,6 19 18 23 13 1 4 17 7 9 16 14 24 10 11 12 8 3 5 21 2 22 20 15
19,502,298.0999,6 19 18 23 13 1 4 17 7 9 16 14 8 10 11 12 24 3 5 21 2 22 20 15
20,506,297.9999,6 19 18 23 13 1 4 17 7 15 16 14 8 10 11 12 24 3 5 21 2 22 20 9
21,518,297.8999,6 19 18 23 13 10 4 17 7 15 16 14 8 1 11 12 24 3 5 21 2 22 20 9
22,522,297.7999,6 19 18 23 13 10 4 17 7 15 16 14 8 11 1 12 24 3 5 21 2 22 20 9
23,516,297.6999,6 19 18 23 16 10 4 17 7 15 13 14 8 11 1 12 24 3 5 21 2 22 20 9
24,500,297.5999,11 19 18 23 16 10 4 17 7 15 13 14 8 6 1 12 24 3 5 21 2 22 20 9
25,516,297.4998,11 19 18 23 16 10 4 17 7 15 13 5 8 6 1 12 24 3 14 21 2 22 20 9
26,516,297.3998,11 19 18 23 16 10 4 17 7 15 13 5 6 8 1 12 24 3 14 21 2 22 20 9
27,529,297.2998,9 19 18 23 16 10 4 17 7 15 13 5 6 8 1 12 24 3 14 21 2 22 20 11
28,535,297.1998,9 19 18 23 16 10 4 17 7 5 13 15 6 8 1 12 24 3 14 21 2 22 20 11
29,519,297.0998,9 19 18 23 16 10 4 17 7 14 13 15 6 8 1 12 24 3 5 21 2 22 20 11
30,545,296.9998,9 19 18 10 16 23 4 17 7 14 13 15 6 8 1 12 24 3 5 21 2 22 20 11
31,529,296.8998,9 19 18 15 16 23 4 17 7 14 13 10 6 8 1 12 24 3 5 21 2 22 20 11
32,561,296.7998,9 19 18 5 16 23 4 17 7 14 13 10 6 8 1 12 24 3 15 21 2 22 20 11
33,565,296.6998,9 19 18 5 12 23 4 17 7 14 13 10 6 8 1 16 24 3 15 21 2 22 20 11
